TCF4_GSM1535697	AUC = 0.561
MYC_GSM748557	AUC = 0.561
H2AZ_GSM1003488	AUC = 0.560
MBD2_GSM1006707	AUC = 0.560
SMC1A_GSM2274683	AUC = 0.560
JARID2_GSM1180134	AUC = 0.560
HSF1_GSM951898	AUC = 0.560
FOSL2_ENCSR563GCV_1	AUC = 0.559
FOS_GSM935397	AUC = 0.559
BRD4_GSM2330577	AUC = 0.559
SP140_GSM2398965	AUC = 0.559
EZH2_GSM1508941	AUC = 0.559
GRHL2_GSM1825678	AUC = 0.559
FOSL2_ENCSR111ZXV_3	AUC = 0.559
BACH1_GSM935576	AUC = 0.558
FOS_GSM935398	AUC = 0.558
RELA_GSM2419827	AUC = 0.558
FOSL2_ENCSR686HIU_1	AUC = 0.558
JUND_GSM1240819	AUC = 0.558
NR3C1_GSM2735382	AUC = 0.557
POLR2A_GSM733671	AUC = 0.557
H2AZ_GSM2809635	AUC = 0.557
FOSL2_GSM1010768	AUC = 0.556
FOSL2_ENCSR563GCV_3	AUC = 0.556
JUND_GSM2266293	AUC = 0.556
FOSL1_GSM2635310	AUC = 0.556
MAX_GSM2151471	AUC = 0.555
SMAD3_GSM897116	AUC = 0.555
FOSL2_ENCSR900RUE_2	AUC = 0.555
SNAI2_GSM1336146	AUC = 0.555
FOS_GSM935317	AUC = 0.555
SMC1A_GSM2247253	AUC = 0.554
FOS_GSM935396	AUC = 0.554
MBD2_GSM1322266	AUC = 0.554
H2AZ_GSM2809636	AUC = 0.554
MYC_GSM935491	AUC = 0.554
SUZ12_GSM831042	AUC = 0.553
SUZ12_GSM1003573	AUC = 0.553
TP53_GSM1418970	AUC = 0.553
SNAI2_GSM1336145	AUC = 0.553
EZH2_GSM969562	AUC = 0.553
STAT3_GSM935399	AUC = 0.553
SMC3_GSM2813844	AUC = 0.553
FOSL2_ENCSR535HFQ_2	AUC = 0.552
ZEB1_GSM1574278	AUC = 0.552
FOSL2_ENCSR111ZXV_2	AUC = 0.552
SNAI2_GSM1336155	AUC = 0.552
FOSL2_ENCSR242EWU_3	AUC = 0.552
STAT3_GSM935551	AUC = 0.552
FOSL2_ENCSR330IJE_1	AUC = 0.552
JUN_GSM1848883	AUC = 0.551
CDX2_GSM743039	AUC = 0.551
SIRT1_GSM2474870	AUC = 0.551
TCF7L1_GSM2065887	AUC = 0.551
NFE2L1_ENCSR557PSD_1	AUC = 0.551
JMJD6_GSM1249880	AUC = 0.551
RAD21_GSM2809610	AUC = 0.550
MBD2_GSM1388122	AUC = 0.550
FOSL2_ENCSR535HFQ_3	AUC = 0.550
DLX2_GSM1208724	AUC = 0.550
EP300_GSM2029581	AUC = 0.550
RNF2_GSM850474	AUC = 0.549
ARID1A_GSM2719738	AUC = 0.549
ATF3_GSM1917770	AUC = 0.549
CDX2_GSM2560479	AUC = 0.549
NFE2_GSM935414	AUC = 0.549
TP53_GSM501691	AUC = 0.548
EZH2_GSM1180129	AUC = 0.548
H2AZ_GSM1003500	AUC = 0.547
MYC_GSM1423725	AUC = 0.547
CTCF_GSM325897	AUC = 0.547
STAT3_GSM2278008	AUC = 0.546
TCF7L2_GSM1249449	AUC = 0.546
SNAI2_GSM1336156	AUC = 0.546
TET2_GSM2274677	AUC = 0.546
MYC_GSM748533	AUC = 0.546
TCF7_GSM1295635	AUC = 0.546
PHIP_GSM2711380	AUC = 0.546
H2AZ_GSM1981414	AUC = 0.545
FOSL1_GSM2635314	AUC = 0.545
BMI1_GSM838673	AUC = 0.545
EZH2_GSM1385750	AUC = 0.545
CUX1_ENCSR017CEO_1	AUC = 0.545
FOSL2_ENCSR103UVU_2	AUC = 0.545
RYBP_GSM2805870	AUC = 0.545
SMC3_GSM2813838	AUC = 0.545
POLR3A_GSM935489	AUC = 0.544
JUN_GSM935341	AUC = 0.544
MYC_GSM762707	AUC = 0.544
EP300_ENCSR686BQM_2	AUC = 0.544
FOSL1_GSM1010756	AUC = 0.543
NR3C1_GSM2735380	AUC = 0.543
H2AZ_GSM2702725	AUC = 0.543
JMJD6_GSM1249905	AUC = 0.543
MYC_GSM1429415	AUC = 0.543
SMC1A_GSM2247254	AUC = 0.543
RNF2_GSM585231	AUC = 0.543
TP63_GSM830122	AUC = 0.543
KDM2B_GSM1612069	AUC = 0.542
MYC_GSM748534	AUC = 0.542
KDM2B_GSM2805880	AUC = 0.542
FOXM1_GSM1876188	AUC = 0.542
SMC3_GSM1240840	AUC = 0.542
BCOR_GSM2805866	AUC = 0.542
DPF2_ENCSR234VCE_2	AUC = 0.542
H2AZ_GSM2702724	AUC = 0.542
ZBTB48_GSM2543154	AUC = 0.542
PCGF1_GSM2805869	AUC = 0.541
MYC_GSM935441	AUC = 0.541
RING1_GSM1295080	AUC = 0.541
SMAD3_GSM897117	AUC = 0.541
RNF2_GSM2805878	AUC = 0.541
AHR_GSM2406723	AUC = 0.541
PHIP_GSM2711381	AUC = 0.541
MED1_GSM2190588	AUC = 0.541
BRD4_GSM2359459	AUC = 0.541
CTCF_GSM2572332	AUC = 0.541
NFE2L1_ENCSR632SHZ_2	AUC = 0.541
JUND_GSM1010847	AUC = 0.541
DROSHA_ENCSR316JQA_2	AUC = 0.541
SRF_GSM1505778	AUC = 0.540
LHX2_GSM1567049	AUC = 0.540
ASCL1_GSM1700639	AUC = 0.540
HCFC1R1_GSM2677682	AUC = 0.540
STAT3_GSM2752894	AUC = 0.540
ZBTB48_GSM2543156	AUC = 0.540
PPARG_GSM2042860	AUC = 0.540
JUND_GSM2042914	AUC = 0.540
SON_GSM2040560	AUC = 0.540
STAT3_GSM935591	AUC = 0.540
CTCF_GSM2026783	AUC = 0.539
SMC1A_GSM897120	AUC = 0.539
E2F6_GSM1010899	AUC = 0.539
MYC_GSM1008620	AUC = 0.539
NFE2L2_ENCSR197WGI_2	AUC = 0.539
KDM2B_GSM2805881	AUC = 0.539
PHIP_GSM2711384	AUC = 0.539
MAX_GSM1008617	AUC = 0.539
SP1_GSM1010902	AUC = 0.539
SMARCB1_GSM881711	AUC = 0.539
MAX_GSM894103	AUC = 0.539
TP53_GSM981237	AUC = 0.539
SNAI2_GSM1336154	AUC = 0.539
TFAP2A_GSM1081381	AUC = 0.538
SNAI2_GSM1336153	AUC = 0.538
ATF3_GSM1917774	AUC = 0.538
MYC_GSM894102	AUC = 0.538
SNAI2_GSM1336157	AUC = 0.538
MYC_GSM1430922	AUC = 0.538
CTCF_GSM1505621	AUC = 0.538
RNF2_GSM585232	AUC = 0.538
RUNX1_GSM2467011	AUC = 0.538
MYC_GSM1493018	AUC = 0.538
CDX2_GSM791413	AUC = 0.538
KDM2B_GSM2805867	AUC = 0.538
BMI1_GSM838671	AUC = 0.538
NR3C1_GSM2735378	AUC = 0.538
SRF_GSM1505777	AUC = 0.538
HOXB13_GSM1208636	AUC = 0.538
BRD4_GSM1195567	AUC = 0.537
ZBTB48_GSM2543155	AUC = 0.537
MYC_GSM2049319	AUC = 0.537
GRHL2_GSM2171836	AUC = 0.537
EP300_GSM2550188	AUC = 0.537
BRD4_GSM1038270	AUC = 0.537
CTCF_GSM325899	AUC = 0.537
KDM4A_GSM2498494	AUC = 0.537
TCF4_GSM791409	AUC = 0.537
ATF3_GSM838675	AUC = 0.537
MYC_GSM2050639	AUC = 0.537
FOXM1_GSM1000996	AUC = 0.537
SNAI2_GSM1336158	AUC = 0.536
MAX_GSM1010904	AUC = 0.536
ZNF217_GSM935563	AUC = 0.536
MYC_GSM2050640	AUC = 0.536
FOXM1_GSM1000995	AUC = 0.536
CTCF_GSM1354438	AUC = 0.536
STAT3_GSM935457	AUC = 0.536
PHIP_GSM2711406	AUC = 0.536
RAD21_GSM2759387	AUC = 0.536
GRHL2_GSM2970414	AUC = 0.536
EZH1_GSM2371322	AUC = 0.536
KDM2B_GSM1612048	AUC = 0.535
AR_GSM1716770	AUC = 0.535
MAFK_GSM935292	AUC = 0.535
HOXB13_GSM1716766	AUC = 0.535
POLR3D_GSM2544234	AUC = 0.535
BRD4_GSM1195569	AUC = 0.535
LIN9_GSM665907	AUC = 0.535
MYC_GSM2049321	AUC = 0.535
TP53_GSM501692	AUC = 0.535
EP300_GSM447587	AUC = 0.535
ESR1_GSM631466	AUC = 0.535
SMAD3_GSM1949011	AUC = 0.535
CTCF_GSM1505625	AUC = 0.534
JUND_GSM2042913	AUC = 0.534
OTX2_GSM1567046	AUC = 0.534
GRHL2_GSM2970417	AUC = 0.534
CTCF_GSM1505623	AUC = 0.534
MYC_GSM1088663	AUC = 0.534
CTCF_GSM1224657	AUC = 0.533
ASCL1_GSM1499402	AUC = 0.533
GRHL2_GSM1825677	AUC = 0.533
TEAD4_GSM1010772	AUC = 0.533
SRF_GSM1505774	AUC = 0.533
FOXM1_GSM1876186	AUC = 0.533
GREB1_GSM1019127	AUC = 0.533
TCF4_GSM791410	AUC = 0.533
H2AZ_GSM1003580	AUC = 0.533
PPARG_GSM2042858	AUC = 0.533
KDM2B_GSM1612072	AUC = 0.533
TET2_GSM2467009	AUC = 0.532
CBX3_GSM1010758	AUC = 0.532
KLF5_GSM1240820	AUC = 0.532
TCF4_GSM460124	AUC = 0.532
CEBPB_GSM1010852	AUC = 0.532
BRD4_GSM2359450	AUC = 0.532
CTCF_GSM1505626	AUC = 0.532
TEAD1_GSM1667161	AUC = 0.532
SMC1A_GSM2493884	AUC = 0.532
RAD21_GSM1242270	AUC = 0.532
GRHL1_GSM1239590	AUC = 0.532
MYC_GSM2301916	AUC = 0.532
MYC_GSM1231598	AUC = 0.532
FOXM1_GSM1876187	AUC = 0.532
SIRT1_GSM2474871	AUC = 0.532
MYC_GSM1240835	AUC = 0.532
NUP98-HOXA9_GSM1529673	AUC = 0.532
TCF7L1_GSM2065888	AUC = 0.532
EP300_GSM2550265	AUC = 0.532
BACH1_GSM935580	AUC = 0.532
JUND_GSM1010892	AUC = 0.532
CTCF_GSM2026781	AUC = 0.531
SMAD3_GSM1246714	AUC = 0.531
MED1_GSM894081	AUC = 0.531
KDM3B_GSM1847179	AUC = 0.531
MAX_GSM894099	AUC = 0.531
JUN_GSM1208639	AUC = 0.531
SP140_GSM2398967	AUC = 0.531
ZBTB48_GSM2543157	AUC = 0.531
TFAP2C_GSM889425	AUC = 0.531
TFAP2C_GSM530915	AUC = 0.531
ATF7IP_GSM2308950	AUC = 0.531
ZEB1_GSM2360622	AUC = 0.531
MYCN_GSM2113532	AUC = 0.531
ATF3_GSM2333815	AUC = 0.531
EZH2_GSM1003576	AUC = 0.531
MYC_GSM822286	AUC = 0.530
SRF_GSM1505776	AUC = 0.530
NR1H2_GSM2042843	AUC = 0.530
TRIM28_GSM1467734	AUC = 0.530
CTCF_GSM1233871	AUC = 0.530
POLR2A_GSM894104	AUC = 0.530
JUND_GSM935328	AUC = 0.530
FOSL1_GSM2635308	AUC = 0.530
H2AZ_GSM2702720	AUC = 0.530
ATF3_GSM1010757	AUC = 0.530
CTCF_GSM1939276	AUC = 0.530
SUMO1_GSM1012768	AUC = 0.530
GRHL2_GSM2970415	AUC = 0.529
JUN_GSM1848885	AUC = 0.529
ESR1_GSM1295591	AUC = 0.529
CDX2_GSM791414	AUC = 0.529
MAX_GSM1008618	AUC = 0.529
ESR1_GSM798435	AUC = 0.529
SMAD3_GSM1949009	AUC = 0.529
MAX_GSM1010898	AUC = 0.529
KDM4A_GSM1003479	AUC = 0.529
KDM4A_GSM831035	AUC = 0.529
SRF_GSM1010851	AUC = 0.529
RAD21_GSM1239446	AUC = 0.529
POU5F1_GSM881710	AUC = 0.529
EP300_GSM935500	AUC = 0.528
BRD4_GSM2330604	AUC = 0.528
RB1_GSM497490	AUC = 0.528
SMAD3_GSM1949005	AUC = 0.528
NIPBL_GSM2040040	AUC = 0.528
GRHL2_GSM1825676	AUC = 0.528
NANOG_GSM1901445	AUC = 0.528
SMAD3_GSM934615	AUC = 0.528
MYC_GSM1429417	AUC = 0.528
ASCL1_GSM1187229	AUC = 0.528
MYC_GSM1231597	AUC = 0.528
GRHL2_GSM2171835	AUC = 0.528
PGBD3_GSM929914	AUC = 0.528
RB1_GSM497489	AUC = 0.528
EP300_GSM1917730	AUC = 0.528
SP1_GSM855449	AUC = 0.528
TET2_GSM2467007	AUC = 0.528
ZMYM3_GSM2574814	AUC = 0.528
RUNX1_GSM2687534	AUC = 0.528
ZNF512_ENCSR591CCL_2	AUC = 0.528
OTX2_GSM1505712	AUC = 0.528
ESR1_GSM631453	AUC = 0.528
