PHF8_GSM1003509	AUC = 0.683
PHF8_GSM831037	AUC = 0.683
ESR1_GSM2125145	AUC = 0.683
KDM5C_GSM831000	AUC = 0.683
E2F1_GSM1656410	AUC = 0.683
MYC_GSM894098	AUC = 0.683
POLR2A_GSM1523078	AUC = 0.683
AR_GSM2412292	AUC = 0.683
PHF2_GSM1936781	AUC = 0.682
RARG_GSM1469985	AUC = 0.682
POLR2A_GSM2218639	AUC = 0.682
EZH2_GSM1003522	AUC = 0.682
CREBBP_GSM1239073	AUC = 0.682
POLR2A_GSM894100	AUC = 0.682
POLR2A_GSM1866693	AUC = 0.682
CHD1_GSM2359988	AUC = 0.681
KDM2B_GSM2805881	AUC = 0.681
CBFB_GSM1122303	AUC = 0.681
MYH11_GSM1122319	AUC = 0.681
BRD4_GSM823382	AUC = 0.681
ESR1_GSM2664038	AUC = 0.681
ZBTB7A_GSM1010752	AUC = 0.681
POLR2A_GSM1777591	AUC = 0.680
SETD1A_GSM1934100	AUC = 0.680
SMAD1_GSM1505736	AUC = 0.680
BRD4_GSM2316299	AUC = 0.680
BRD2_GSM1328971	AUC = 0.680
EP300_GSM1067278	AUC = 0.679
KLF12_GSM2026901	AUC = 0.679
H2AZ_GSM2760313	AUC = 0.679
EZH2_GSM2265655	AUC = 0.679
FGFR1_GSM2439181	AUC = 0.679
MYC_GSM1008620	AUC = 0.679
POLR2A_GSM1537297	AUC = 0.679
H2AZ_GSM2467219	AUC = 0.678
BRD4_GSM1890758	AUC = 0.678
SP4_GSM2026799	AUC = 0.678
JARID2_GSM1180134	AUC = 0.678
POLR2A_GSM1239999	AUC = 0.678
EP300_GSM1239070	AUC = 0.677
CHD1_GSM2359989	AUC = 0.677
POLR2A_GSM726989	AUC = 0.677
NRF1_GSM1891658	AUC = 0.677
H2AZ_GSM2467214	AUC = 0.677
H2AZ_GSM2467212	AUC = 0.676
POLR2A_GSM1948655	AUC = 0.676
NRF1_GSM1891659	AUC = 0.676
POLR2A_GSM1777590	AUC = 0.676
RARA_GSM1469982	AUC = 0.676
MBD2_GSM1388127	AUC = 0.676
POLR2A_GSM1340258	AUC = 0.676
E2F1_GSM935484	AUC = 0.676
UHRF2_GSM2111483	AUC = 0.676
POLR2A_GSM1340255	AUC = 0.676
BRD4_GSM2316300	AUC = 0.675
H2AZ_GSM2467216	AUC = 0.675
H2AZ_GSM2467217	AUC = 0.675
SUPT5H_GSM1679115	AUC = 0.675
HEXIM1_GSM1866697	AUC = 0.675
ESR1_GSM798400	AUC = 0.675
EP300_GSM1470016	AUC = 0.675
POLR2A_GSM894104	AUC = 0.675
H2AZ_GSM2467211	AUC = 0.675
PHF2_GSM1936777	AUC = 0.674
GRHL3_GSM2498560	AUC = 0.674
KLF9_ENCSR125ZYC_2	AUC = 0.674
SUZ12_GSM935423	AUC = 0.674
MAX_GSM894099	AUC = 0.674
H2AZ_GSM2467218	AUC = 0.674
INTS11_GSM2257576	AUC = 0.674
CBFB_GSM1122302	AUC = 0.674
SP4_GSM2026798	AUC = 0.674
EZH2_GSM1385748	AUC = 0.674
SMARCB1_GSM881711	AUC = 0.673
ASCL1_GSM1499402	AUC = 0.673
SMC1A_GSM2247253	AUC = 0.673
MYC_GSM2065881	AUC = 0.673
BMI1_GSM1424587	AUC = 0.673
TFAP2C_GSM1469997	AUC = 0.673
POLR2A_GSM1059394	AUC = 0.673
RARG_GSM1469990	AUC = 0.673
POLR2A_GSM2218625	AUC = 0.672
SP1_GSM2065877	AUC = 0.672
AUTS2_GSM2860172	AUC = 0.672
HNF4G_GSM2277153	AUC = 0.672
POLR2A_GSM1388129	AUC = 0.672
ZFX_GSM2741762	AUC = 0.672
BRD4_GSM1249881	AUC = 0.672
MAX_GSM1008618	AUC = 0.672
MBD2_GSM1388125	AUC = 0.672
POLR3D_GSM2544235	AUC = 0.672
KLF9_GSM1522565	AUC = 0.672
E2F1_GSM1133656	AUC = 0.671
CREBBP_GSM1239074	AUC = 0.671
