RAD21_GSM2486813	AUC = 0.561
FOSL2_ENCSR067XTW_1	AUC = 0.561
TSC22D4_ENCSR787RVK_1	AUC = 0.560
BRD9_GSM2092891	AUC = 0.560
EBF1_GSM803386	AUC = 0.560
STAT1_GSM1057011	AUC = 0.560
MED1_GSM2802954	AUC = 0.560
CEBPB_ENCSR447ZMS_3	AUC = 0.560
HES2_ENCSR690HWX_1	AUC = 0.560
GATA1_GSM610335	AUC = 0.559
CEBPA_GSM1020364	AUC = 0.559
JMJD6_GSM1249880	AUC = 0.559
EP300_GSM1917728	AUC = 0.559
NEUROG2_GSM1970151	AUC = 0.559
HES2_ENCSR646EFO_3	AUC = 0.559
ASCL1_GSM1975006	AUC = 0.558
FOSL2_ENCSR593DGU_2	AUC = 0.558
FOSL2_ENCSR535HFQ_3	AUC = 0.558
EZH2_GSM2265655	AUC = 0.558
TSC22D4_ENCSR787RVK_2	AUC = 0.558
FOSL2_ENCSR775UFR_2	AUC = 0.558
FOSL2_ENCSR111ZXV_1	AUC = 0.558
TERC_GSM820430	AUC = 0.557
ZBTB48_GSM2543156	AUC = 0.557
TCF7L1_GSM1873237	AUC = 0.557
CTCF_GSM1224672	AUC = 0.557
TCF7L1_GSM957606	AUC = 0.557
GATA3_GSM957609	AUC = 0.557
HES2_ENCSR419TWL_2	AUC = 0.557
EZH2_GSM2265654	AUC = 0.557
EP300_GSM1290186	AUC = 0.557
EP300_GSM2029581	AUC = 0.557
SPIB_GSM1370276	AUC = 0.556
SMC3_ENCSR481YWD_2	AUC = 0.556
BRD4_GSM1709939	AUC = 0.556
TAL1_GSM957612	AUC = 0.556
FOSL2_ENCSR593DGU_1	AUC = 0.556
NME2_GSM991048	AUC = 0.556
HIRA_GSM1358817	AUC = 0.556
ZBTB48_GSM2543154	AUC = 0.556
ZBTB33_ENCSR876GXA_1	AUC = 0.556
CEBPB_ENCSR269IUA_1	AUC = 0.556
STAT5A_GSM671400	AUC = 0.556
CTCF_GSM970828	AUC = 0.555
EED_GSM1045472	AUC = 0.555
ERG_GSM1193664	AUC = 0.555
RUNX1_GSM1816091	AUC = 0.555
FOSL2_ENCSR242EWU_3	AUC = 0.555
FOSL2_ENCSR111ZXV_2	AUC = 0.555
PSIP1_GSM1495450	AUC = 0.555
STAT5B_GSM1577751	AUC = 0.555
FOSL2_ENCSR563GCV_3	AUC = 0.555
GATA3_GSM722168	AUC = 0.555
RUNX1_GSM1534442	AUC = 0.555
SMAD4_GSM1246719	AUC = 0.554
SMAD4_GSM1246718	AUC = 0.554
ATF7IP_GSM2308950	AUC = 0.554
TCF12_GSM585586	AUC = 0.554
GATA2_GSM2494984	AUC = 0.554
CEBPB_ENCSR269IUA_2	AUC = 0.554
EP300_GSM1333964	AUC = 0.554
RXRG_GSM468214	AUC = 0.554
CEBPB_ENCSR701TCU_1	AUC = 0.554
MED1_GSM2802955	AUC = 0.554
JUN_GSM1848885	AUC = 0.554
EZH2_GSM1003529	AUC = 0.554
FLI1_GSM790209	AUC = 0.554
KDM4A_GSM2498494	AUC = 0.554
CEBPB_ENCSR182OZC_2	AUC = 0.554
BRD4_GSM1503857	AUC = 0.553
GATA2_GSM2494985	AUC = 0.553
FOSL2_ENCSR111ZXV_3	AUC = 0.553
PML_GSM468205	AUC = 0.553
EP300_GSM935294	AUC = 0.553
SUZ12_GSM2265652	AUC = 0.553
MED1_GSM2802960	AUC = 0.553
EZH2_GSM1003501	AUC = 0.553
ESR1_GSM798390	AUC = 0.553
SMC1A_GSM2592812	AUC = 0.553
FOSL2_ENCSR900RUE_2	AUC = 0.553
TCF21_GSM1503216	AUC = 0.552
NCOR1_GSM1534443	AUC = 0.552
TCF4_GSM1975018	AUC = 0.552
TERC_GSM820437	AUC = 0.552
EP300_GSM935562	AUC = 0.552
TAL1_GSM2877123	AUC = 0.552
SPI1_GSM1370275	AUC = 0.552
GATA2_GSM730702	AUC = 0.552
SPI1_GSM1557623	AUC = 0.552
TCF7L2_GSM722426	AUC = 0.552
RAD21_GSM2486814	AUC = 0.551
MYOG_GSM2214115	AUC = 0.551
MYC_GSM991046	AUC = 0.551
CTCF_GSM1056576	AUC = 0.551
GATA2_GSM730701	AUC = 0.551
CTCF_GSM325899	AUC = 0.551
MBD2_GSM1322266	AUC = 0.551
RELB_GSM2628090	AUC = 0.551
SPI1_GSM1703900	AUC = 0.551
NR3C1_GSM1684637	AUC = 0.551
TAL1_GSM908055	AUC = 0.551
HES2_ENCSR796VBR_3	AUC = 0.550
NKX2-1_GSM2665568	AUC = 0.550
BRD4_GSM1845140	AUC = 0.550
TAL1_GSM2877124	AUC = 0.550
CREBBP_GSM2386723	AUC = 0.550
GATA2_GSM722415	AUC = 0.550
MEIS1_GSM638316	AUC = 0.550
GATA3_GSM776559	AUC = 0.550
GTF2I_GSM1539072	AUC = 0.550
EP300_GSM2550244	AUC = 0.550
FOS_GSM730704	AUC = 0.550
RELA_GSM486324	AUC = 0.550
FOSL2_ENCSR330IJE_1	AUC = 0.550
ESR1_GSM798396	AUC = 0.549
MYB_GSM1859068	AUC = 0.549
EZH2_GSM717404	AUC = 0.549
MED1_GSM2802959	AUC = 0.549
RELA_GSM486305	AUC = 0.549
PAX5_GSM1086296	AUC = 0.549
TCF4_GSM1975020	AUC = 0.549
GATA2_GSM1488758	AUC = 0.549
EP300_ENCSR260WCE_2	AUC = 0.549
SSRP1_GSM1103547	AUC = 0.549
EED_ENCSR199WXF_1	AUC = 0.549
SUMO1_GSM1012768	AUC = 0.549
SMC1A_GSM897120	AUC = 0.549
NEUROG2_GSM1970157	AUC = 0.549
EZH2_GSM831028	AUC = 0.549
TAL1_GSM957614	AUC = 0.548
NEUROG2_GSM1970150	AUC = 0.548
BCL11A_GSM803388	AUC = 0.548
