ESR1_GSM1643949	AUC = 0.642
E2F1_GSM935477	AUC = 0.642
KLF5_GSM1574277	AUC = 0.642
SNAI2_GSM1336145	AUC = 0.642
EZH2_GSM1180139	AUC = 0.642
ESR1_GSM1643999	AUC = 0.642
ESR1_GSM1003734	AUC = 0.642
DLX1_GSM1208723	AUC = 0.642
FOXM1_GSM1010769	AUC = 0.642
E2F1_GSM2046835	AUC = 0.642
CTCF_GSM325897	AUC = 0.642
SIN3A_ENCSR468LUO_2	AUC = 0.642
GATA4_GSM1250900	AUC = 0.642
E2F1_GSM699989	AUC = 0.642
EP300_GSM1470016	AUC = 0.642
ESR1_GSM2747691	AUC = 0.642
FAIRE_GSM631501	AUC = 0.641
JARID2_GSM1180169	AUC = 0.641
GTF3C2_GSM935343	AUC = 0.641
NR1H2_GSM2042842	AUC = 0.641
POLR2A_GSM1006876	AUC = 0.641
POU5F1_GSM545202	AUC = 0.641
ZFAT_GSM1208675	AUC = 0.641
EZH2_GSM1385750	AUC = 0.641
JARID2_GSM1180134	AUC = 0.641
KMT2A_GSM1897369	AUC = 0.641
ASCL2_GSM1208591	AUC = 0.641
CDCA2_GSM2226138	AUC = 0.641
MBD3_GSM1089817	AUC = 0.641
E2F1_GSM1207905	AUC = 0.641
DNMT3B_GSM2642523	AUC = 0.641
SMAD3_GSM897118	AUC = 0.641
TFAP2A_GSM588927	AUC = 0.641
NR1H2_GSM2042843	AUC = 0.641
ESR1_GSM798384	AUC = 0.641
ESR1_GSM631488	AUC = 0.641
JARID2_GSM1180149	AUC = 0.641
KLF6_GSM1919983	AUC = 0.640
SRC_GSM959625	AUC = 0.640
KDM5B_GSM1122653	AUC = 0.640
SUZ12_GSM1031240	AUC = 0.640
NR3C1_GSM1858617	AUC = 0.640
TCF12_GSM1010861	AUC = 0.640
POLR2A_GSM869314	AUC = 0.640
TFAP4_GSM2224583	AUC = 0.640
H2AZ_GSM2467219	AUC = 0.640
EP300_GSM1010800	AUC = 0.640
FOXA1_GSM1858624	AUC = 0.640
MYC_GSM748542	AUC = 0.640
SMC1A_GSM2247253	AUC = 0.640
SMC1A_GSM2247254	AUC = 0.640
BRD4_GSM2359450	AUC = 0.640
ZNF649_GSM2466622	AUC = 0.640
ZMYM3_GSM2574783	AUC = 0.640
POLR2A_GSM2042902	AUC = 0.639
KLF4_GSM1387028	AUC = 0.639
ARID1A_GSM2719737	AUC = 0.639
EP300_GSM2550265	AUC = 0.639
BRD4_GSM2330576	AUC = 0.639
E2F1_GSM1693900	AUC = 0.639
LHX2_GSM1208644	AUC = 0.639
POLR2A_GSM869312	AUC = 0.639
BRD3_GSM1328973	AUC = 0.639
RUNX1_GSM1592327	AUC = 0.639
KLF9_ENCSR125ZYC_1	AUC = 0.639
TP63_GSM1139036	AUC = 0.639
KLF4_GSM1364027	AUC = 0.639
MED1_GSM2040046	AUC = 0.638
ZBTB48_GSM2543152	AUC = 0.638
ZMYM3_GSM2574776	AUC = 0.638
ESR1_GSM631458	AUC = 0.638
AFF1_GSM2364548	AUC = 0.638
NIPBL_GSM2040045	AUC = 0.638
SMAD3_GSM897116	AUC = 0.638
ZEB1_GSM803411	AUC = 0.638
TFAP2C_GSM889427	AUC = 0.638
BRD4_GSM1890748	AUC = 0.638
ESR1_GSM631455	AUC = 0.638
TFAP2A_GSM588928	AUC = 0.638
ZBTB48_GSM2543156	AUC = 0.638
RARG_GSM1469990	AUC = 0.638
ZNF143_GSM2024873	AUC = 0.638
POLR2A_GSM1037522	AUC = 0.638
ZMYM3_ENCSR848YWD_1	AUC = 0.638
ESR1_GSM2648918	AUC = 0.638
SMAD3_GSM897117	AUC = 0.638
SOX2_GSM1208794	AUC = 0.638
NRF1_GSM1891658	AUC = 0.638
POLR2A_GSM1037523	AUC = 0.638
RARG_GSM1469991	AUC = 0.638
ZBTB10_GSM1239544	AUC = 0.638
NRF1_GSM1891659	AUC = 0.637
ESR1_GSM631459	AUC = 0.637
BRD2_GSM1328970	AUC = 0.637
EZH2_GSM1003487	AUC = 0.637
MYC_GSM1429417	AUC = 0.637
E2F1_GSM699987	AUC = 0.637
MYC_GSM748534	AUC = 0.637
BRD4_GSM2359444	AUC = 0.637
EGR1_GSM1010844	AUC = 0.637
TAZ_GSM2402808	AUC = 0.637
E2F4_GSM935365	AUC = 0.637
CBX1_ENCSR819WZE_2	AUC = 0.637
GRHL2_GSM1825677	AUC = 0.637
AHR_GSM2406727	AUC = 0.637
CNOT3_GSM1617374	AUC = 0.637
MYC_GSM762711	AUC = 0.637
H2AZ_GSM2467217	AUC = 0.637
RARA_GSM1469988	AUC = 0.637
APOBEC3B_GSM1372542	AUC = 0.637
SMC1A_GSM897120	AUC = 0.637
CREM_GSM1208722	AUC = 0.637
JUN_GSM1208639	AUC = 0.637
TP63_GSM2350362	AUC = 0.637
HES1_GSM1208628	AUC = 0.637
ESR1_GSM2648914	AUC = 0.637
ESR1_GSM631454	AUC = 0.637
POLR2A_GSM1162752	AUC = 0.636
PML_GSM1010838	AUC = 0.636
JUND_GSM1240833	AUC = 0.636
E2F1_GSM1976292	AUC = 0.636
BMI1_GSM1138594	AUC = 0.636
POLR2A_GSM2042901	AUC = 0.636
ZBTB48_GSM2543148	AUC = 0.636
ESR1_GSM2125131	AUC = 0.636
ZEB1_GSM2360622	AUC = 0.636
TFAP2C_GSM889426	AUC = 0.636
ZBTB48_GSM2543153	AUC = 0.636
BRD4_GSM2330575	AUC = 0.636
MYC_GSM748557	AUC = 0.636
RUNX1_GSM2687534	AUC = 0.636
RXRA_GSM803506	AUC = 0.636
JARID2_GSM1180131	AUC = 0.636
PR_GSM2112809	AUC = 0.636
AHR_GSM2406723	AUC = 0.636
MYC_GSM1429416	AUC = 0.636
MYC_GSM748526	AUC = 0.636
GATA6_GSM1197321	AUC = 0.636
E2F1_GSM699988	AUC = 0.636
POLR3D_GSM1906351	AUC = 0.636
H2AZ_GSM2702725	AUC = 0.636
GRHL3_GSM1034504	AUC = 0.636
SOX2_GSM1139035	AUC = 0.636
H2AZ_GSM2702724	AUC = 0.636
POLR2A_GSM869310	AUC = 0.636
POLR2A_GSM869309	AUC = 0.636
RUNX1_GSM2467011	AUC = 0.635
MAX_GSM1010898	AUC = 0.635
SP1_GSM2065876	AUC = 0.635
POLR2A_GSM1162755	AUC = 0.635
ZNF143_GSM2024875	AUC = 0.635
MYC_GSM1006866	AUC = 0.635
CTCF_GSM2026781	AUC = 0.635
MYC_GSM1468306	AUC = 0.635
MED1_GSM1470020	AUC = 0.635
H2AZ_GSM2467211	AUC = 0.635
H2AZ_GSM2895358	AUC = 0.635
NIPBL_GSM1208661	AUC = 0.635
FOXA1_GSM659788	AUC = 0.635
GATAD2B_ENCSR389BLX_2	AUC = 0.635
POLR2A_GSM2670975	AUC = 0.635
EZH2_GSM1180135	AUC = 0.635
MYC_GSM748540	AUC = 0.635
YY1_GSM2026776	AUC = 0.635
