REST_GSM1290159	AUC = 0.480
CTCF_GSM646474	AUC = 0.480
SMARCC1_GSM1835896	AUC = 0.480
REST_GSM1290165	AUC = 0.480
RYBP_GSM855008	AUC = 0.480
SIRT1_GSM2474871	AUC = 0.480
ZIM3_GSM2026853	AUC = 0.480
YAP1_GSM1524329	AUC = 0.480
CTCF_GSM733744	AUC = 0.480
CTCF_GSM733765	AUC = 0.480
REST_GSM1290166	AUC = 0.480
GATA4_GSM2430676	AUC = 0.480
CTCF_GSM749736	AUC = 0.480
RAD21_GSM935379	AUC = 0.480
CTCF_GSM733724	AUC = 0.479
CTCF_GSM749726	AUC = 0.479
GATA2_GSM730702	AUC = 0.479
REST_GSM1333986	AUC = 0.479
CTCF_GSM1463918	AUC = 0.479
CTCF_GSM2747764	AUC = 0.479
CTCF_GSM749673	AUC = 0.479
CTCF_GSM1022676	AUC = 0.479
CTCF_GSM749759	AUC = 0.479
CTCF_GSM2809614	AUC = 0.479
FAIRE_GSM1122847	AUC = 0.479
ZFP28_GSM2026837	AUC = 0.479
CTCF_GSM749675	AUC = 0.479
RNF2_GSM585230	AUC = 0.479
CTCF_GSM646372	AUC = 0.479
CTCF_GSM2257816	AUC = 0.479
CTCF_GSM749711	AUC = 0.479
NKX2-1_GSM2665569	AUC = 0.479
CTCF_GSM1022677	AUC = 0.479
CTCF_GSM1022668	AUC = 0.479
CTCF_GSM749751	AUC = 0.479
CTCF_GSM2599087	AUC = 0.479
ZNF384_GSM2026843	AUC = 0.479
HOXC9_GSM848789	AUC = 0.479
EZH2_GSM1385748	AUC = 0.479
GATA4_GSM1505650	AUC = 0.479
CTCF_GSM1022665	AUC = 0.479
REST_GSM1290151	AUC = 0.478
RNF2_GSM585231	AUC = 0.478
REST_GSM1290170	AUC = 0.478
NEUROG2_GSM1970157	AUC = 0.478
ESR1_GSM2467301	AUC = 0.478
ZNF485_GSM2466572	AUC = 0.478
RING1_GSM1295080	AUC = 0.478
SETDB1_GSM2308951	AUC = 0.478
CTCF_GSM1224660	AUC = 0.478
CTCF_GSM325897	AUC = 0.478
CTCF_GSM2235691	AUC = 0.478
CTCF_GSM749723	AUC = 0.478
EP300_GSM1009630	AUC = 0.478
CTCF_GSM1224657	AUC = 0.478
HLF_ENCSR528PSI_1	AUC = 0.478
REST_GSM1290163	AUC = 0.478
REST_GSM1290155	AUC = 0.478
CTCF_ENCSR756KRS_1	AUC = 0.478
CTCF_GSM749699	AUC = 0.478
ATF4_GSM1697346	AUC = 0.478
CTCF_GSM2493879	AUC = 0.478
RAD21_ENCSR917QNE_2	AUC = 0.478
STAG1_GSM1234059	AUC = 0.478
CTCF_GSM733672	AUC = 0.478
CTCF_GSM1267206	AUC = 0.477
CTCF_GSM1705253	AUC = 0.477
CEBPB_GSM935295	AUC = 0.477
CDK2_GSM1302192	AUC = 0.477
CTCF_GSM749747	AUC = 0.477
CTCF_GSM1022675	AUC = 0.477
CTCF_GSM1684571	AUC = 0.477
REST_GSM1333998	AUC = 0.477
ATF4_GSM1684648	AUC = 0.477
CTCF_GSM1022634	AUC = 0.477
CTCF_GSM518375	AUC = 0.477
CTCF_GSM646455	AUC = 0.477
MYOD1_GSM2214114	AUC = 0.477
CTCF_GSM1022630	AUC = 0.477
H2AZ_GSM1003488	AUC = 0.477
CTCF_GSM1022671	AUC = 0.477
HSF1_GSM951897	AUC = 0.477
CTCF_GSM1022637	AUC = 0.477
CTCF_GSM646393	AUC = 0.477
CTCF_GSM646335	AUC = 0.477
CTCF_GSM749681	AUC = 0.477
GATA4_GSM1505651	AUC = 0.477
FOS_GSM935398	AUC = 0.477
BMI1_GSM2579121	AUC = 0.477
CTCF_GSM2235693	AUC = 0.477
CHD7_GSM1506078	AUC = 0.477
CEBPB_GSM935493	AUC = 0.477
CTCF_GSM2493880	AUC = 0.477
ZNF823_GSM2466675	AUC = 0.477
CTCF_GSM1505620	AUC = 0.477
HSF1_GSM951865	AUC = 0.477
PCGF2_GSM1340092	AUC = 0.476
GATA4_GSM2401453	AUC = 0.476
CTCF_GSM1817662	AUC = 0.476
CTCF_GSM2439226	AUC = 0.476
CTCF_GSM2493881	AUC = 0.476
IRF5_GSM945604	AUC = 0.476
CTCF_GSM1224658	AUC = 0.476
BAHD1_GSM1290244	AUC = 0.476
HLF_ENCSR528PSI_2	AUC = 0.476
CTCF_GSM749745	AUC = 0.476
SMC3_ENCSR481YWD_1	AUC = 0.476
SMC1A_GSM2040026	AUC = 0.476
CTCF_GSM749710	AUC = 0.476
CTCF_GSM1224655	AUC = 0.476
CTCF_GSM748538	AUC = 0.476
SPI1_GSM1544525	AUC = 0.476
TERC_GSM820430	AUC = 0.476
