TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
KAT8,-1.904,9.72E-01,-1.756,0.298,0.852,9.86E-01
NR0B1,-0.95,8.29E-01,-2.436,0.286,0.852,9.86E-01
KDM4B,-1.462,9.28E-01,-2.032,0.301,0.853,9.86E-01
ELL2,-3.151,9.99E-01,-1.998,0.343,0.854,9.86E-01
CDK7,-2.126,9.83E-01,-2.532,0.356,0.861,9.88E-01
NCOR2,-1.736,9.59E-01,-1.638,0.254,0.861,9.88E-01
AFF4,-3.986,1.00E+00,-2.418,0.367,0.861,9.88E-01
IRF3,-1.713,9.57E-01,-1.921,0.294,0.863,9.89E-01
SRSF3,-1.514,9.35E-01,-1.896,0.272,0.863,9.89E-01
NKRF,-1.636,9.49E-01,-1.968,0.292,0.865,9.89E-01
PTPN11,-1.12,8.69E-01,-2.229,0.264,0.866,9.89E-01
PHF6,-1.027,8.48E-01,-2.459,0.276,0.866,9.89E-01
NFYC,-1.404,9.20E-01,-1.833,0.219,0.868,9.90E-01
CHD4,-1.823,9.66E-01,-2.086,0.312,0.869,9.90E-01
TAFII,-1.652,9.51E-01,-1.891,0.276,0.869,9.90E-01
TAF3,-1.114,8.67E-01,-2.358,0.265,0.871,9.90E-01
TCOF1,-1.112,8.67E-01,-2.424,0.265,0.872,9.91E-01
ETS1,-5.948,1.00E+00,-2.823,0.369,0.873,9.91E-01
MKL1,-1.17,8.79E-01,-2.167,0.256,0.873,9.91E-01
NFRKB,-1.781,9.63E-01,-1.719,0.249,0.873,9.91E-01
ARNTL,-2.127,9.83E-01,-1.867,0.294,0.874,9.91E-01
KLF13,-1.659,9.52E-01,-1.901,0.264,0.875,9.91E-01
BARX2,-1.585,9.44E-01,-1.765,0.183,0.875,9.91E-01
TDRD3,-1.443,9.26E-01,-1.849,0.212,0.875,9.91E-01
TFDP1,-2.187,9.86E-01,-1.99,0.309,0.875,9.91E-01
ORC1,-1.26,8.96E-01,-2.084,0.244,0.876,9.92E-01
ZBTB11,-2.612,9.96E-01,-2.154,0.33,0.877,9.92E-01
ZNF75A,-1.531,9.37E-01,-1.811,0.195,0.877,9.92E-01
ASH1L,-1.133,8.71E-01,-2.411,0.262,0.877,9.92E-01
GMEB1,-1.68,9.54E-01,-1.719,0.152,0.879,9.92E-01
SNAPC1,-1.722,9.58E-01,-1.681,0.125,0.88,9.92E-01
STAT2,-1.994,9.77E-01,-2.018,0.297,0.881,9.92E-01
PHF8,-4.299,1.00E+00,-2.292,0.344,0.881,9.93E-01
AUTS2,-1.138,8.73E-01,-2.45,0.261,0.882,9.93E-01
PPARD,-1.161,8.77E-01,-2.347,0.257,0.882,9.93E-01
NR2C2,-4.006,1.00E+00,-2.128,0.33,0.884,9.93E-01
ARID5B,-1.415,9.22E-01,-2.024,0.217,0.885,9.93E-01
SREBF2,-1.413,9.21E-01,-2.04,0.217,0.886,9.93E-01
KAT7,-1.14,8.73E-01,-2.678,0.261,0.888,9.94E-01
BRD1,-1.14,8.73E-01,-2.652,0.261,0.888,9.94E-01
ELF2,-1.708,9.56E-01,-1.795,0.14,0.889,9.94E-01
HMGN1,-1.305,9.04E-01,-2.167,0.237,0.889,9.94E-01
ZNF711,-1.363,9.14E-01,-2.151,0.226,0.89,9.94E-01
STAT5B,-2.836,9.98E-01,-2.182,0.324,0.891,9.94E-01
GTF2B,-4.4,1.00E+00,-2.165,0.328,0.892,9.94E-01
SIX5,-2.639,9.96E-01,-1.97,0.297,0.892,9.94E-01
RBL2,-3.243,9.99E-01,-1.903,0.297,0.892,9.94E-01
ZNF131,-1.71,9.56E-01,-1.82,0.137,0.893,9.95E-01
EMSY,-1.671,9.53E-01,-1.925,0.155,0.897,9.95E-01
GTF2E2,-1.438,9.25E-01,-2.137,0.213,0.897,9.95E-01
PAF1,-4.28,1.00E+00,-2.294,0.325,0.902,9.96E-01
ZIC2,-1.479,9.30E-01,-2.148,0.206,0.903,9.96E-01
DEAF1,-1.537,9.38E-01,-2.118,0.193,0.903,9.96E-01
STAT5,-2.791,9.97E-01,-1.87,0.263,0.906,9.96E-01
EPC1,-2.207,9.86E-01,-1.821,0.204,0.906,9.96E-01
RBP2,-1.717,9.57E-01,-1.996,0.131,0.907,9.96E-01
ZBED1,-1.974,9.76E-01,-2.018,0.246,0.908,9.97E-01
FAM208A,-1.688,9.54E-01,-2.394,0.271,0.908,9.97E-01
BRPF3,-1.73,9.58E-01,-2.756,0.293,0.909,9.97E-01
DCP1A,-1.94,9.74E-01,-2.057,0.25,0.91,9.97E-01
HDAC6,-1.856,9.68E-01,-2.347,0.278,0.911,9.97E-01
ELK3,-1.391,9.18E-01,-2.459,0.221,0.911,9.97E-01
ELK1,-3.521,1.00E+00,-2.093,0.287,0.917,9.97E-01
CD74,-2.954,9.98E-01,-1.78,0.144,0.917,9.97E-01
GMEB2,-2.309,9.90E-01,-1.963,0.19,0.92,9.98E-01
IRAK4,-1.436,9.24E-01,-2.8,0.213,0.922,9.98E-01
KAT5,-2.436,9.93E-01,-2.11,0.254,0.923,9.98E-01
KDM5A,-3.251,9.99E-01,-1.91,0.184,0.929,9.98E-01
ELK4,-3.184,9.99E-01,-1.986,0.208,0.93,9.99E-01
SPIN1,-1.623,9.48E-01,-2.466,0.173,0.93,9.99E-01
MLLT1,-3.203,9.99E-01,-3.023,0.308,0.931,9.99E-01
DDX21,-2.175,9.85E-01,-2.161,0.194,0.934,9.99E-01
BCL3,-6.819,1.00E+00,-2.431,0.299,0.934,9.99E-01
PHF2,-1.829,9.66E-01,-2.733,0.25,0.936,9.99E-01
REL,-1.945,9.74E-01,-2.914,0.261,0.939,9.99E-01
RPE,-2.712,9.97E-01,-2.468,0.282,0.939,9.99E-01
NELFA,-4.842,1.00E+00,-2.075,0.237,0.94,9.99E-01
POLR2B,-2.032,9.79E-01,-2.44,0.233,0.941,9.99E-01
SMAD5,-2.408,9.92E-01,-2.228,0.146,0.946,9.99E-01
FOXP3,-2.356,9.91E-01,-2.258,0.168,0.947,9.99E-01
NFATC1,-2.457,9.93E-01,-3.236,0.269,0.947,9.99E-01
U2AF1,-3.037,9.99E-01,-2.23,0.211,0.95,1.00E+00
KMT2D,-4.176,1.00E+00,-2.281,0.251,0.951,1.00E+00
