TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
POU2F2,-0.332,6.30E-01,-0.614,0.497,0.589,6.94E-01
OVOL3,-0.273,6.07E-01,-0.429,0.486,0.589,6.94E-01
ZIM3,-0.6,7.26E-01,0.512,0.471,0.59,6.96E-01
GFI1B,-0.645,7.41E-01,-0.424,0.504,0.591,6.97E-01
ATF3,-1.575,9.42E-01,-1.693,0.608,0.597,7.10E-01
CHD2,-0.509,6.95E-01,-1.834,0.535,0.598,7.12E-01
TRIM22,-0.285,6.12E-01,-0.475,0.484,0.599,7.15E-01
NEUROG2,-0.893,8.14E-01,0.281,0.491,0.599,7.15E-01
PAX5,-0.698,7.57E-01,-0.349,0.501,0.601,7.18E-01
CBFB,-0.938,8.26E-01,-2.024,0.581,0.602,7.20E-01
ZNF274,-1.179,8.81E-01,0.487,0.492,0.602,7.20E-01
MYB,-1.086,8.61E-01,-0.515,0.518,0.603,7.22E-01
ZNF83,-0.335,6.31E-01,-0.804,0.496,0.603,7.22E-01
SCML2,-0.158,5.63E-01,-0.807,0.488,0.603,7.22E-01
LDB1,-0.477,6.83E-01,0.257,0.466,0.603,7.22E-01
SF1,-0.631,7.36E-01,0.627,0.457,0.604,7.24E-01
SP2,-0.39,6.52E-01,-1.325,0.514,0.605,7.25E-01
ZNF605,-0.469,6.80E-01,0.157,0.467,0.605,7.26E-01
PML,-1.63,9.48E-01,-1.404,0.576,0.605,7.27E-01
NFE2,-1.267,8.98E-01,-0.966,0.534,0.607,7.30E-01
PROX1,-1.461,9.28E-01,-1.083,0.547,0.608,7.31E-01
MAPK1,-0.442,6.71E-01,-1.676,0.523,0.608,7.31E-01
HOXC9,-0.608,7.29E-01,0.342,0.469,0.608,7.31E-01
BANP,-0.672,7.49E-01,-0.088,0.488,0.61,7.35E-01
ETV1,-0.683,7.53E-01,-1.638,0.53,0.61,7.36E-01
RELA,-5.793,1.00E+00,-1.725,0.7,0.611,7.38E-01
KDM6A,-0.32,6.26E-01,-0.388,0.475,0.611,7.38E-01
HDAC1,-1.179,8.81E-01,-1.766,0.563,0.612,7.40E-01
PLRG1,-0.97,8.34E-01,0.82,0.465,0.612,7.40E-01
ZNF280A,-0.62,7.32E-01,0.491,0.458,0.613,7.41E-01
EBF3,-1.04,8.51E-01,0.206,0.49,0.613,7.42E-01
MBTD1,-0.081,5.32E-01,-1.003,0.488,0.614,7.43E-01
ETV7,-0.269,6.06E-01,-0.547,0.477,0.614,7.44E-01
RUNX3,-0.319,6.25E-01,-0.46,0.475,0.615,7.45E-01
POU5F1,-1.728,9.58E-01,0.154,0.512,0.616,7.47E-01
BACH2,-0.796,7.87E-01,-0.388,0.498,0.616,7.47E-01
RFX2,-0.211,5.84E-01,-0.764,0.48,0.618,7.50E-01
PRDM11,-0.341,6.34E-01,-1.498,0.508,0.618,7.51E-01
CEBPB,-8.089,1.00E+00,-0.967,0.577,0.62,7.54E-01
BCL6,-1.368,9.14E-01,-1.098,0.537,0.62,7.55E-01
E2F4,-1.153,8.76E-01,-1.5,0.536,0.622,7.57E-01
ZFX,-1.56,9.41E-01,-1.632,0.568,0.622,7.57E-01
EBF1,-0.989,8.39E-01,-0.531,0.509,0.622,7.59E-01
CCNT2,-0.083,5.33E-01,-1.104,0.488,0.623,7.59E-01
MYC,-3.926,1.00E+00,-1.645,0.619,0.624,7.62E-01
POLR2M,-0.306,6.20E-01,-1.345,0.501,0.625,7.63E-01
ZNF675,-0.629,7.35E-01,0.314,0.458,0.629,7.70E-01
ETV6,-1.264,8.97E-01,-0.5,0.512,0.63,7.72E-01
GTF2A2,-0.502,6.92E-01,-0.072,0.465,0.631,7.74E-01
ZBTB33,-2.495,9.94E-01,-1.731,0.596,0.635,7.82E-01
TAF7,-1.166,8.78E-01,-1.353,0.529,0.635,7.82E-01
ILK,-0.835,7.98E-01,0.406,0.461,0.639,7.88E-01
PAX3,-0.677,7.51E-01,0.229,0.454,0.64,7.90E-01
HOXA9,-0.779,7.82E-01,-0.065,0.474,0.64,7.90E-01
FOXD2,-0.246,5.97E-01,-1.01,0.478,0.64,7.91E-01
KMT2A,-1.401,9.19E-01,-2.389,0.597,0.641,7.91E-01
TARDBP,-0.526,7.01E-01,-1.371,0.505,0.642,7.94E-01
NKRF,-0.466,6.79E-01,-0.972,0.491,0.642,7.94E-01
ZKSCAN8,-0.454,6.75E-01,-0.583,0.475,0.642,7.94E-01
NFRKB,-0.477,6.83E-01,-0.613,0.476,0.644,7.97E-01
ZNF101,-0.488,6.87E-01,-0.863,0.488,0.645,7.99E-01
LMO2,-1.501,9.33E-01,-0.481,0.512,0.646,8.01E-01
BRD2,-1.748,9.60E-01,-1.942,0.59,0.647,8.02E-01
ZNF440,-0.732,7.68E-01,0.227,0.451,0.647,8.02E-01
ZNF189,-0.114,5.45E-01,-1.511,0.486,0.647,8.03E-01
SETD1A,-0.13,5.52E-01,-1.736,0.495,0.648,8.04E-01
ORC2,-0.382,6.49E-01,-0.644,0.472,0.648,8.04E-01
ATF2,-1.366,9.14E-01,-1.476,0.533,0.648,8.04E-01
MECP2,-0.589,7.22E-01,-1.729,0.515,0.648,8.05E-01
OTX2,-2.067,9.81E-01,0.26,0.499,0.649,8.05E-01
ZNF644,-0.484,6.86E-01,-0.782,0.482,0.649,8.05E-01
HOXA6,-0.237,5.94E-01,-1.169,0.479,0.649,8.06E-01
PRDM1,-0.865,8.06E-01,-0.537,0.493,0.65,8.06E-01
HCFC1,-1.701,9.56E-01,-1.518,0.543,0.65,8.06E-01
FGFR1,-0.601,7.26E-01,-1.786,0.517,0.651,8.09E-01
MNT,-0.682,7.52E-01,-0.718,0.488,0.652,8.10E-01
NCOR1,-1.397,9.19E-01,-2.029,0.562,0.653,8.12E-01
ZNF573,-0.682,7.53E-01,0.028,0.454,0.653,8.12E-01
MYF5,-0.418,6.62E-01,-0.659,0.47,0.653,8.12E-01
TGIF2,-0.315,6.24E-01,-1.346,0.488,0.653,8.12E-01
TTF2,-0.537,7.04E-01,-1.212,0.496,0.654,8.14E-01
ZNF639,-0.808,7.91E-01,-1.077,0.503,0.657,8.18E-01
ERCC6,-0.411,6.60E-01,-1.096,0.485,0.657,8.18E-01
MLLT1,-1.324,9.07E-01,-1.641,0.533,0.657,8.19E-01
ASXL1,-0.148,5.59E-01,-1.608,0.484,0.658,8.20E-01
KLF6,-0.221,5.88E-01,-1.442,0.48,0.659,8.21E-01
FOXG1,-0.429,6.66E-01,-0.688,0.469,0.659,8.21E-01
