TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZKSCAN8,0.605,2.73E-01,0.625,0.628,0.422,3.28E-01
TTF2,0.039,4.84E-01,-0.317,0.695,0.422,3.29E-01
TRRAP,0.629,2.65E-01,0.151,0.652,0.422,3.29E-01
SSRP1,-0.011,5.04E-01,1.28,0.613,0.425,3.34E-01
SMC3,0.574,2.83E-01,0.238,0.65,0.426,3.37E-01
ZNF175,0.037,4.85E-01,1.227,0.609,0.427,3.40E-01
ZNF189,0.782,2.17E-01,0.326,0.637,0.429,3.44E-01
CDK9,0.761,2.23E-01,-0.863,0.69,0.43,3.45E-01
MXI1,0.776,2.19E-01,-0.566,0.676,0.431,3.48E-01
DLX1,0.756,2.25E-01,0.369,0.635,0.431,3.48E-01
CBFA2T2,0.251,4.01E-01,0.982,0.607,0.432,3.51E-01
ASXL1,0.897,1.85E-01,0.021,0.644,0.434,3.55E-01
TRIM28,-1.42,9.22E-01,0.842,0.675,0.436,3.59E-01
TEAD2,0.145,4.42E-01,1.002,0.607,0.439,3.65E-01
CCNT2,0.713,2.38E-01,0.346,0.632,0.439,3.65E-01
C17orf49,0.609,2.71E-01,-0.07,0.656,0.44,3.67E-01
KLF6,0.81,2.09E-01,0.078,0.639,0.444,3.76E-01
ZNF675,-0.006,5.03E-01,1.325,0.594,0.445,3.78E-01
HDAC6,0.175,4.31E-01,-0.409,0.682,0.447,3.82E-01
MTA2,0.072,4.71E-01,0.272,0.651,0.45,3.88E-01
SMAD5,0.98,1.64E-01,-0.09,0.639,0.45,3.89E-01
IKZF2,0.55,2.91E-01,0.531,0.621,0.451,3.90E-01
ZNF341,0.827,2.04E-01,-0.109,0.644,0.452,3.94E-01
MORC2,0.886,1.88E-01,0.206,0.625,0.452,3.94E-01
EGR2,0.591,2.77E-01,0.135,0.641,0.453,3.95E-01
CBFB,0.703,2.41E-01,-0.67,0.673,0.454,3.97E-01
ETS2,0.248,4.02E-01,0.666,0.617,0.454,3.97E-01
HIF1A,-0.085,5.34E-01,0.664,0.631,0.455,4.01E-01
ZNF506,0.062,4.76E-01,1.029,0.597,0.455,4.01E-01
TBL1XR1,0.224,4.11E-01,-0.091,0.659,0.46,4.11E-01
SMAD4,-0.132,5.53E-01,0.187,0.659,0.461,4.13E-01
KLF8,0.791,2.14E-01,-0.028,0.637,0.461,4.13E-01
ERG,-0.167,5.66E-01,-0.494,0.692,0.462,4.16E-01
CBX8,0.124,4.51E-01,-0.843,0.692,0.464,4.20E-01
ZNF284,-0.03,5.12E-01,1.114,0.592,0.465,4.22E-01
PR,-2.612,9.96E-01,0.376,0.717,0.469,4.32E-01
TCF7L1,-0.598,7.25E-01,-0.13,0.684,0.471,4.36E-01
ZNF574,0.641,2.61E-01,0.147,0.628,0.471,4.36E-01
RAG2,0.825,2.05E-01,-0.183,0.64,0.471,4.36E-01
ZNF414,0.725,2.34E-01,-0.015,0.629,0.476,4.47E-01
HES1,0.011,4.95E-01,0.618,0.619,0.477,4.48E-01
SCRT1,-0.05,5.20E-01,0.704,0.614,0.477,4.49E-01
ZNF264,0.157,4.37E-01,0.461,0.623,0.477,4.49E-01
DDX20,-0.08,5.32E-01,0.354,0.641,0.479,4.53E-01
BACH1,0.102,4.59E-01,0.262,0.637,0.48,4.54E-01
ZNF479,0.204,4.19E-01,0.629,0.605,0.48,4.55E-01
ZSCAN16,0.022,4.91E-01,0.205,0.643,0.482,4.60E-01
ARID2,0.688,2.46E-01,-0.546,0.655,0.483,4.61E-01
ZNF580,0.57,2.84E-01,0.276,0.618,0.485,4.65E-01
ZNF292,-0.167,5.66E-01,1.077,0.585,0.487,4.72E-01
MLLT1,0.329,3.71E-01,-0.426,0.658,0.49,4.77E-01
BARX1,0.483,3.15E-01,0.22,0.619,0.491,4.81E-01
POU2F2,0.113,4.55E-01,-0.07,0.646,0.492,4.83E-01
ZNF682,0.461,3.23E-01,0.239,0.618,0.493,4.84E-01
MECP2,0.588,2.78E-01,-0.42,0.649,0.493,4.85E-01
POLR2M,0.297,3.83E-01,-0.555,0.663,0.493,4.85E-01
ZNF282,0.862,1.94E-01,-0.283,0.629,0.494,4.87E-01
BRD9,0.163,4.35E-01,-0.021,0.64,0.496,4.90E-01
CDK12,0.519,3.02E-01,0.043,0.621,0.503,5.06E-01
ZFP69B,0.645,2.60E-01,-0.028,0.62,0.503,5.06E-01
ZBTB1,0.352,3.63E-01,0.305,0.612,0.503,5.07E-01
SATB1,-0.781,7.83E-01,0.083,0.666,0.504,5.08E-01
ZNF483,0.614,2.70E-01,-0.127,0.627,0.504,5.10E-01
ZBTB26,0.085,4.66E-01,-1.162,0.683,0.51,5.22E-01
ARID5B,0.398,3.45E-01,0.141,0.615,0.51,5.22E-01
HSF1,0.183,4.28E-01,-0.781,0.666,0.512,5.28E-01
GTF2E2,0.501,3.08E-01,-0.043,0.62,0.514,5.31E-01
ZNF468,0.556,2.89E-01,-0.116,0.623,0.515,5.34E-01
ZNF711,0.602,2.74E-01,-0.241,0.626,0.517,5.37E-01
ASH1L,0.645,2.60E-01,-0.326,0.628,0.517,5.38E-01
STAG1,-0.209,5.83E-01,-0.267,0.656,0.518,5.40E-01
ZNF354C,-0.372,6.45E-01,1.018,0.572,0.52,5.45E-01
ZNF257,0.331,3.71E-01,0.106,0.611,0.521,5.48E-01
MYNN,-0.104,5.41E-01,0.143,0.629,0.522,5.50E-01
ZNF273,0.596,2.76E-01,-0.294,0.625,0.523,5.51E-01
CBX3,-0.845,8.01E-01,0.866,0.61,0.524,5.53E-01
KDM1A,-0.875,8.09E-01,-0.177,0.673,0.525,5.56E-01
PRKDC,-0.8,7.88E-01,-1.083,0.711,0.525,5.57E-01
ZNF146,-0.162,5.64E-01,0.329,0.619,0.528,5.64E-01
GATA1,-2.864,9.98E-01,-0.037,0.701,0.531,5.69E-01
USP49,-0.492,6.89E-01,1.116,0.563,0.531,5.69E-01
ZNF343,0.641,2.61E-01,-0.496,0.628,0.535,5.78E-01
ZNF770,0.018,4.93E-01,0.402,0.595,0.536,5.80E-01
BRDU,-1.068,8.57E-01,0.955,0.604,0.537,5.82E-01
ASH2L,-0.173,5.69E-01,0.567,0.593,0.537,5.84E-01
ZNF808,-0.483,6.86E-01,0.991,0.564,0.537,5.84E-01
ERCC2,-0.166,5.66E-01,0.594,0.585,0.538,5.86E-01
ETV1,0.246,4.03E-01,-0.26,0.625,0.541,5.92E-01
CUX1,-0.751,7.74E-01,0.104,0.646,0.541,5.92E-01
ETV4,-0.039,5.16E-01,-0.147,0.633,0.541,5.92E-01
ZBTB2,-0.102,5.41E-01,0.333,0.604,0.543,5.96E-01
PSIP1,-0.146,5.58E-01,-0.374,0.647,0.544,5.99E-01
PML,-0.87,8.08E-01,-0.854,0.691,0.545,6.00E-01
PBX2,-0.185,5.74E-01,0.232,0.613,0.547,6.06E-01
PKNOX1,-0.119,5.48E-01,0.391,0.595,0.548,6.07E-01
ZFP37,0.586,2.79E-01,-0.387,0.616,0.549,6.09E-01
ZNF674,0.444,3.29E-01,-0.31,0.618,0.549,6.10E-01
PYGO2,-0.294,6.15E-01,0.537,0.593,0.55,6.11E-01
LMNB1,-0.195,5.77E-01,0.57,0.583,0.55,6.12E-01
NR4A1,-0.387,6.51E-01,0.009,0.63,0.551,6.14E-01
CBX2,0.248,4.02E-01,-0.078,0.607,0.552,6.15E-01
TFAP4,0.002,4.99E-01,-0.061,0.617,0.554,6.19E-01
ZTA,-0.629,7.35E-01,0.842,0.577,0.554,6.19E-01
PTRF,-0.504,6.93E-01,0.689,0.581,0.554,6.21E-01
DNMT3A,-0.182,5.72E-01,-0.345,0.642,0.555,6.22E-01
SMAD2-SMAD3,-0.708,7.60E-01,-0.1,0.648,0.555,6.23E-01
ICE2,0.131,4.48E-01,0.033,0.601,0.556,6.24E-01
ZNF680,-1.216,8.88E-01,0.629,0.622,0.556,6.25E-01
ZNF467,0.258,3.98E-01,-0.142,0.608,0.556,6.25E-01
CDK8,-0.445,6.72E-01,-1.17,0.678,0.557,6.26E-01
BCAT1,-0.104,5.41E-01,0.336,0.594,0.557,6.26E-01
TCF7L2,-1.228,8.90E-01,-1.065,0.708,0.557,6.27E-01
IRF9,-0.345,6.35E-01,0.535,0.586,0.557,6.27E-01
SMARCE1,-0.352,6.38E-01,0.23,0.613,0.559,6.30E-01
CSNK2A1,0.386,3.50E-01,-0.325,0.614,0.559,6.30E-01
ZNF140,-0.869,8.08E-01,0.698,0.599,0.559,6.31E-01
BCLAF1,0.026,4.90E-01,-0.564,0.641,0.559,6.31E-01
ZNF346,0.493,3.11E-01,-0.357,0.612,0.559,6.31E-01
YAP1,-2.344,9.91E-01,-0.73,0.727,0.56,6.34E-01
KMT2A,-0.052,5.21E-01,-1.241,0.669,0.56,6.34E-01
LEO1,0.113,4.55E-01,-0.02,0.6,0.562,6.38E-01
MCM2,-0.429,6.66E-01,0.672,0.568,0.563,6.39E-01
ELK3,0.436,3.32E-01,-0.411,0.617,0.563,6.39E-01
SMARCB1,-0.007,5.03E-01,-1.088,0.657,0.564,6.43E-01
SOX13,-0.071,5.28E-01,0.117,0.602,0.564,6.43E-01
ZNF429,-0.291,6.15E-01,0.563,0.577,0.565,6.44E-01
CHD7,-0.385,6.50E-01,-0.176,0.634,0.566,6.46E-01
ZNF488,-0.521,6.99E-01,0.65,0.576,0.567,6.47E-01
YBX1,-1.344,9.11E-01,0.789,0.603,0.568,6.49E-01
GATAD1,-0.052,5.21E-01,-0.648,0.643,0.569,6.52E-01
SMAD3,-1.783,9.63E-01,-0.26,0.676,0.569,6.53E-01
TAL1,-3.908,1.00E+00,-0.255,0.693,0.57,6.55E-01
ZFP57,-0.424,6.64E-01,0.399,0.59,0.574,6.63E-01
KLF3,-0.006,5.02E-01,0.047,0.594,0.574,6.63E-01
ZNF586,-0.668,7.48E-01,0.918,0.546,0.577,6.70E-01
ZFP64,-0.375,6.46E-01,-0.077,0.62,0.578,6.72E-01
DACOR1,-0.529,7.02E-01,0.673,0.56,0.579,6.74E-01
REPIN1,-0.54,7.06E-01,-0.049,0.623,0.581,6.78E-01
MBD3,-0.608,7.28E-01,-0.659,0.655,0.583,6.81E-01
ZNF281,0.198,4.21E-01,-0.326,0.604,0.583,6.81E-01
OVOL3,-0.043,5.17E-01,-0.157,0.607,0.584,6.84E-01
ZXDB,0.446,3.28E-01,-0.583,0.611,0.585,6.86E-01
ZBTB6,0.068,4.73E-01,-0.325,0.609,0.585,6.86E-01
ZNF563,-0.373,6.46E-01,0.463,0.572,0.585,6.86E-01
TCF12,-0.747,7.72E-01,-0.401,0.648,0.586,6.88E-01
RUNX1,-3.226,9.99E-01,-0.918,0.738,0.586,6.88E-01
SPIB,-1.252,8.95E-01,0.052,0.641,0.589,6.94E-01
ERCC6,-0.279,6.10E-01,-0.838,0.647,0.59,6.96E-01
SMARCA4,-1.115,8.68E-01,-1.797,0.711,0.591,6.99E-01
C11orf30,-0.236,5.93E-01,0.113,0.591,0.592,7.01E-01
ARID1A,-0.934,8.25E-01,0.064,0.627,0.593,7.03E-01
ZNF320,-0.579,7.19E-01,0.458,0.578,0.596,7.07E-01
ZNF584,-0.044,5.18E-01,-0.109,0.594,0.596,7.08E-01
RBPJ,-0.89,8.13E-01,-1.102,0.675,0.596,7.09E-01
CDK2,-0.689,7.55E-01,0.522,0.58,0.597,7.10E-01
ZNF280A,-0.561,7.12E-01,0.584,0.557,0.598,7.12E-01
GLYR1,0.277,3.91E-01,-0.639,0.608,0.599,7.14E-01
NFATC1,0.042,4.83E-01,-0.951,0.634,0.601,7.17E-01
KDM6B,-0.881,8.11E-01,-1.179,0.675,0.601,7.18E-01
ZNF445,-0.491,6.88E-01,0.464,0.563,0.601,7.18E-01
ZNF512,-0.484,6.86E-01,0.198,0.587,0.601,7.19E-01
ZNF48,-0.647,7.41E-01,0.669,0.548,0.601,7.19E-01
MYH11,0.087,4.65E-01,-1.143,0.639,0.601,7.19E-01
