TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
KLF9,-0.271,6.07E-01,-1.434,0.541,0.614,7.44E-01
DUX4,-0.613,7.30E-01,0.74,0.497,0.615,7.45E-01
ZNF644,-0.116,5.46E-01,-0.324,0.512,0.616,7.47E-01
FOXG1,-0.062,5.25E-01,-0.165,0.502,0.616,7.47E-01
GTF2A2,-0.258,6.02E-01,0.342,0.489,0.618,7.51E-01
DDX5,-0.467,6.80E-01,-0.899,0.536,0.62,7.54E-01
MCM7,-0.516,6.97E-01,0.618,0.494,0.62,7.54E-01
BRD3,-0.762,7.77E-01,-1.519,0.562,0.62,7.55E-01
MYH11,-0.46,6.77E-01,-1.793,0.557,0.621,7.57E-01
AFF1,-0.933,8.25E-01,-1.244,0.557,0.622,7.57E-01
ZNF71,-0.082,5.33E-01,-1.107,0.524,0.622,7.58E-01
SOX9,-0.341,6.33E-01,-1.168,0.533,0.622,7.59E-01
UHRF2,0.16,4.37E-01,-1.075,0.515,0.622,7.59E-01
PRAME,0.04,4.84E-01,-0.562,0.508,0.623,7.60E-01
LEO1,-0.049,5.20E-01,-0.315,0.503,0.624,7.61E-01
TBL1X,0.101,4.60E-01,-0.837,0.512,0.625,7.63E-01
MBTD1,0.08,4.68E-01,-0.769,0.51,0.626,7.66E-01
PARP1,-0.497,6.90E-01,0.845,0.475,0.626,7.66E-01
LEF1,-0.759,7.76E-01,-1.217,0.549,0.627,7.67E-01
SETD1A,0.089,4.65E-01,-1.389,0.522,0.627,7.68E-01
ZNF701,-0.217,5.86E-01,0.086,0.492,0.628,7.69E-01
NKRF,-0.199,5.79E-01,-0.745,0.518,0.628,7.69E-01
SIN3A,-0.856,8.04E-01,-1.673,0.565,0.628,7.70E-01
ZNF580,0.013,4.95E-01,-0.635,0.507,0.629,7.71E-01
ZNF18,-0.274,6.08E-01,-0.693,0.52,0.631,7.74E-01
ZNF133,-0.41,6.59E-01,0.563,0.48,0.631,7.74E-01
YBX3,-0.336,6.31E-01,-0.15,0.507,0.631,7.75E-01
KRAB,-0.366,6.43E-01,-0.263,0.514,0.632,7.76E-01
ZNF547,-0.235,5.93E-01,-0.454,0.511,0.632,7.77E-01
ZNF639,-0.478,6.84E-01,-0.841,0.529,0.635,7.82E-01
ETV1,-0.355,6.39E-01,-1.152,0.529,0.637,7.85E-01
ZNF695,0.024,4.91E-01,-0.76,0.507,0.638,7.87E-01
MED1,-4.163,1.00E+00,-1.874,0.635,0.639,7.89E-01
ZNF317,-0.908,8.18E-01,0.579,0.501,0.639,7.89E-01
AR,-15.85,1.00E+00,-0.143,0.554,0.641,7.91E-01
RAG2,0.148,4.41E-01,-1.401,0.514,0.642,7.94E-01
MECP2,-0.322,6.26E-01,-1.432,0.53,0.644,7.97E-01
FEZF1,-0.365,6.43E-01,0.018,0.494,0.646,8.01E-01
MAF,-0.788,7.85E-01,-0.794,0.532,0.647,8.03E-01
ZNF101,-0.363,6.42E-01,-0.536,0.513,0.647,8.03E-01
STAT2,-0.481,6.85E-01,-0.867,0.525,0.648,8.04E-01
ZNF519,0.048,4.81E-01,-1.15,0.508,0.65,8.08E-01
ZNF143,-1.507,9.34E-01,-1.36,0.563,0.651,8.08E-01
XCL1,-0.06,5.24E-01,-0.753,0.502,0.651,8.09E-01
ZNF605,-0.417,6.62E-01,0.249,0.479,0.653,8.12E-01
PR,-5.528,1.00E+00,-0.42,0.555,0.654,8.13E-01
ZNF84,-0.351,6.37E-01,0.065,0.483,0.655,8.15E-01
DPF1,-0.396,6.54E-01,-0.599,0.513,0.656,8.16E-01
NUP98-HOXA9,-0.438,6.69E-01,0.23,0.478,0.657,8.19E-01
FOXH1,-0.894,8.14E-01,0.088,0.51,0.659,8.21E-01
REL,-0.372,6.45E-01,-1.317,0.525,0.659,8.21E-01
ETV7,-0.204,5.81E-01,-0.46,0.493,0.66,8.23E-01
CHD8,-0.959,8.31E-01,-0.852,0.533,0.661,8.24E-01
GLI4,-0.189,5.75E-01,-0.705,0.501,0.661,8.24E-01
E2F8,-0.175,5.69E-01,-0.594,0.495,0.661,8.24E-01
FOXD2,-0.082,5.33E-01,-0.817,0.501,0.661,8.24E-01
ZNF440,-0.553,7.10E-01,0.505,0.471,0.662,8.26E-01
GABPA,-2.157,9.85E-01,-1.577,0.576,0.663,8.27E-01
ZNF765,-0.55,7.09E-01,0.489,0.471,0.663,8.27E-01
KDM1B,-0.597,7.25E-01,0.576,0.467,0.663,8.27E-01
NR5A2,-0.913,8.19E-01,0.264,0.501,0.663,8.28E-01
SMN1,-0.64,7.39E-01,0.665,0.465,0.664,8.29E-01
BRD2,-1.52,9.36E-01,-1.835,0.572,0.666,8.32E-01
ZNF486,-0.982,8.37E-01,0.886,0.465,0.666,8.32E-01
EGLN2,-0.157,5.62E-01,-0.75,0.497,0.668,8.36E-01
TAT,-0.371,6.45E-01,-0.067,0.482,0.669,8.37E-01
FOXP2,-0.045,5.18E-01,-1.258,0.505,0.67,8.39E-01
ZSCAN20,-0.274,6.08E-01,-0.563,0.495,0.671,8.39E-01
CDK12,-0.085,5.34E-01,-0.981,0.501,0.671,8.40E-01
ZNF671,-0.251,5.99E-01,-0.464,0.49,0.671,8.40E-01
FOXM1,-2.754,9.97E-01,-1.443,0.571,0.672,8.41E-01
SMAD2,-1.054,8.54E-01,0.18,0.502,0.672,8.41E-01
ZNF441,-0.029,5.12E-01,-1.303,0.504,0.672,8.41E-01
RB1,-0.469,6.81E-01,-0.949,0.516,0.674,8.44E-01
UBE2I,-0.245,5.97E-01,-0.577,0.49,0.675,8.46E-01
CDK7,-0.722,7.65E-01,-1.591,0.537,0.676,8.47E-01
ZNF217,-0.581,7.19E-01,0.321,0.468,0.677,8.48E-01
SIX4,-0.754,7.75E-01,0.67,0.457,0.679,8.51E-01
ZNF146,-0.575,7.17E-01,-0.338,0.501,0.679,8.52E-01
EHMT2,-1.971,9.76E-01,0.108,0.521,0.68,8.52E-01
BRPF3,-0.105,5.42E-01,-1.628,0.515,0.68,8.53E-01
CBX8,-0.32,6.26E-01,-1.82,0.525,0.681,8.54E-01
SIX2,-1.023,8.47E-01,0.489,0.48,0.681,8.54E-01
ETS2,-0.816,7.93E-01,-0.624,0.517,0.683,8.56E-01
WDR5,-1,8.41E-01,-1.925,0.549,0.685,8.60E-01
EBF3,-1.103,8.65E-01,0.156,0.497,0.685,8.60E-01
HDAC3,-1.279,9.00E-01,-0.433,0.521,0.686,8.61E-01
ZNF207,-1.324,9.07E-01,0.673,0.479,0.686,8.61E-01
E2F1,-5.544,1.00E+00,-2.083,0.596,0.686,8.61E-01
PHOX2B,-0.667,7.48E-01,0.371,0.463,0.687,8.62E-01
AHR,-1.038,8.50E-01,0.346,0.483,0.687,8.62E-01
ERG,-2.771,9.97E-01,-2.159,0.591,0.688,8.64E-01
NONO,-1.11,8.67E-01,0.493,0.477,0.689,8.64E-01
FOXK2,-1.227,8.90E-01,-0.612,0.522,0.689,8.65E-01
GRHL2,-3.352,1.00E+00,-0.123,0.529,0.691,8.67E-01
ZNF808,-0.794,7.86E-01,0.575,0.454,0.691,8.67E-01
HMGN3,-0.109,5.44E-01,-1.357,0.499,0.691,8.68E-01
POLR2A,-23.764,1.00E+00,-2.09,0.593,0.692,8.69E-01
SATB1,-0.794,7.86E-01,0.062,0.485,0.692,8.69E-01
ZNF778,-0.536,7.04E-01,-0.546,0.497,0.693,8.69E-01
RFX1,-1.354,9.12E-01,-0.529,0.522,0.693,8.69E-01
BRCA1,-1.744,9.59E-01,-1.699,0.558,0.693,8.70E-01
ZXDC,-0.484,6.86E-01,-0.169,0.475,0.694,8.71E-01
NEUROD1,-2.258,9.88E-01,-0.955,0.544,0.695,8.72E-01
NFYB,-0.562,7.13E-01,-0.796,0.505,0.697,8.74E-01
PRDM6,-0.481,6.85E-01,-0.233,0.476,0.697,8.75E-01
BAHD1,-1.413,9.21E-01,0.586,0.478,0.698,8.76E-01
TRRAP,-0.397,6.54E-01,-0.803,0.495,0.698,8.77E-01
HHEX,-0.705,7.60E-01,0.045,0.476,0.698,8.77E-01
ZNF264,-0.594,7.24E-01,-0.546,0.493,0.703,8.82E-01
ZNF674,-0.123,5.49E-01,-1.471,0.498,0.703,8.82E-01
SOX13,-0.567,7.15E-01,-0.474,0.487,0.705,8.84E-01
ZNF573,-0.644,7.40E-01,0.088,0.464,0.705,8.84E-01
ZNF682,-0.337,6.32E-01,-1.208,0.498,0.705,8.84E-01
ZNF585A,-0.428,6.66E-01,-0.557,0.478,0.705,8.85E-01
HOXC9,-0.809,7.91E-01,0.143,0.472,0.705,8.85E-01
ZNF76,-0.681,7.52E-01,-1.282,0.517,0.706,8.85E-01
PGR,-0.602,7.27E-01,-0.055,0.467,0.706,8.86E-01
EWSR1,-1.147,8.74E-01,-0.599,0.512,0.709,8.89E-01
YY1,-4.264,1.00E+00,-1.996,0.573,0.71,8.90E-01
TAF7,-1.162,8.77E-01,-1.35,0.527,0.71,8.91E-01
ZNF675,-0.724,7.66E-01,0.159,0.459,0.71,8.91E-01
CCNT2,-0.222,5.88E-01,-1.358,0.492,0.711,8.91E-01
AUTS2,-0.192,5.76E-01,-1.454,0.494,0.712,8.92E-01
BARX1,-0.366,6.43E-01,-0.782,0.482,0.712,8.92E-01
NOTCH1,-1.116,8.68E-01,-1.326,0.525,0.713,8.93E-01
HOXA2,-0.313,6.23E-01,-1.141,0.486,0.713,8.94E-01
ZSCAN5A,-0.439,6.70E-01,-1.175,0.498,0.714,8.95E-01
ZNF574,-0.233,5.92E-01,-1.369,0.491,0.715,8.95E-01
PDX1,-0.858,8.05E-01,-0.025,0.475,0.716,8.97E-01
CREB1,-2.488,9.94E-01,-2.036,0.566,0.717,8.98E-01
TET3,-0.692,7.56E-01,-1.947,0.529,0.717,8.98E-01
WDHD1,-0.53,7.02E-01,-0.641,0.483,0.717,8.98E-01
GATA6,-3.191,9.99E-01,0.029,0.516,0.718,8.99E-01
MAPK1,-0.623,7.33E-01,-1.855,0.524,0.719,9.00E-01
ORC2,-0.438,6.69E-01,-0.737,0.478,0.719,9.01E-01
KLF11,-0.385,6.50E-01,-1.592,0.508,0.72,9.01E-01
ZNF26,-0.828,7.96E-01,0.179,0.452,0.72,9.01E-01
DLX1,-0.364,6.42E-01,-0.98,0.482,0.722,9.03E-01
HOXA6,-0.32,6.26E-01,-1.282,0.485,0.722,9.04E-01
