TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
KLF17,-0.939,8.26E-01,-2.678,0.357,0.808,9.68E-01
HDAC6,-1.438,9.25E-01,-1.948,0.332,0.81,9.69E-01
INO80,-2.724,9.97E-01,-2.494,0.413,0.81,9.69E-01
MORC2,-2.142,9.84E-01,-2.085,0.373,0.814,9.71E-01
E2F3,-0.867,8.07E-01,-2.532,0.325,0.816,9.72E-01
GLIS2,-0.993,8.40E-01,-2.641,0.351,0.816,9.72E-01
KDM4B,-1.435,9.24E-01,-2.007,0.329,0.816,9.72E-01
KLF6,-0.91,8.19E-01,-2.457,0.319,0.816,9.72E-01
ZBTB7A,-2.411,9.92E-01,-2.556,0.408,0.817,9.73E-01
NFYA,-2.743,9.97E-01,-1.938,0.366,0.818,9.73E-01
ZNF189,-0.778,7.82E-01,-2.875,0.337,0.818,9.73E-01
ZBTB11,-2.582,9.95E-01,-2.138,0.383,0.818,9.73E-01
ZNF391,-1.203,8.86E-01,-2.392,0.343,0.82,9.74E-01
ZNF281,-1.07,8.58E-01,-2.186,0.295,0.821,9.74E-01
SREBF1,-2.034,9.79E-01,-1.938,0.346,0.821,9.74E-01
SOX9,-1.404,9.20E-01,-2.306,0.356,0.821,9.74E-01
ZMYND8,-1.512,9.35E-01,-2.827,0.393,0.822,9.75E-01
ZBTB8A,-0.975,8.35E-01,-2.79,0.35,0.822,9.75E-01
ING2,-0.784,7.83E-01,-2.979,0.336,0.822,9.75E-01
FEV,-1.284,9.01E-01,-1.862,0.257,0.825,9.76E-01
ARNT2,-1.25,8.94E-01,-1.959,0.265,0.825,9.76E-01
KLF9,-2.343,9.90E-01,-2.884,0.413,0.825,9.76E-01
ELK3,-1.126,8.70E-01,-2.162,0.286,0.825,9.76E-01
RBBP5,-2.337,9.90E-01,-2.662,0.403,0.827,9.77E-01
ZNF71,-1.308,9.05E-01,-2.525,0.358,0.827,9.77E-01
HOXA6,-1.063,8.56E-01,-2.299,0.296,0.83,9.78E-01
SUPT5H,-3.071,9.99E-01,-2.261,0.384,0.834,9.79E-01
IRF3,-1.724,9.58E-01,-1.93,0.318,0.835,9.80E-01
HOXA1,-1.44,9.25E-01,-1.8,0.223,0.835,9.80E-01
HCFC1,-3.115,9.99E-01,-2.192,0.377,0.836,9.80E-01
ASCL2,-1.231,8.91E-01,-2.105,0.268,0.836,9.80E-01
CASP8AP2,-1.423,9.23E-01,-1.857,0.228,0.837,9.81E-01
KLF13,-1.636,9.49E-01,-1.881,0.287,0.838,9.81E-01
EP400,-1.148,8.75E-01,-2.277,0.282,0.841,9.82E-01
MXD3,-1.471,9.29E-01,-1.808,0.215,0.841,9.82E-01
KDM3A,-1.55,9.40E-01,-2.068,0.305,0.843,9.83E-01
ZBTB10,-1.433,9.24E-01,-1.933,0.226,0.844,9.83E-01
KLF7,-1.311,9.05E-01,-2.375,0.317,0.847,9.84E-01
INTS11,-1.384,9.17E-01,-2.789,0.357,0.85,9.85E-01
ZSCAN5A,-1.424,9.23E-01,-2.21,0.308,0.85,9.85E-01
ELK1,-3.275,1.00E+00,-1.992,0.34,0.851,9.85E-01
NR0B1,-1.061,8.56E-01,-2.586,0.296,0.851,9.85E-01
ZIC2,-1.399,9.19E-01,-2.068,0.233,0.852,9.86E-01
FOXD2,-1.265,8.97E-01,-2.205,0.261,0.853,9.86E-01
MEN1,-1.825,9.66E-01,-1.883,0.267,0.853,9.86E-01
SNAPC1,-1.7,9.56E-01,-1.663,0.137,0.853,9.86E-01
KLF8,-1.125,8.70E-01,-3.115,0.34,0.854,9.86E-01
NFAT5,-1.482,9.31E-01,-1.963,0.213,0.854,9.86E-01
RBCK1,-1.56,9.41E-01,-1.865,0.193,0.856,9.86E-01
KLF10,-1.858,9.68E-01,-2.011,0.298,0.856,9.86E-01
ZNF441,-0.97,8.34E-01,-3.088,0.309,0.858,9.87E-01
PHIP,-1.989,9.77E-01,-3.615,0.387,0.858,9.87E-01
ZNF324,-1.382,9.17E-01,-2.611,0.337,0.859,9.87E-01
ELF2,-1.688,9.54E-01,-1.78,0.145,0.859,9.87E-01
UBTF,-1.871,9.69E-01,-2.811,0.378,0.86,9.88E-01
BARX2,-1.64,9.50E-01,-1.81,0.166,0.86,9.88E-01
CPSF3L,-2.335,9.90E-01,-2.237,0.343,0.86,9.88E-01
GMEB1,-1.702,9.56E-01,-1.735,0.135,0.86,9.88E-01
PATZ1,-1.507,9.34E-01,-2.962,0.363,0.86,9.88E-01
AFF4,-4.405,1.00E+00,-2.574,0.385,0.861,9.88E-01
NPAT,-1.27,8.98E-01,-2.307,0.26,0.862,9.88E-01
THAP1,-1.203,8.86E-01,-2.461,0.273,0.862,9.88E-01
THAP11,-1.249,8.94E-01,-2.412,0.265,0.864,9.89E-01
ASXL1,-1.035,8.50E-01,-2.993,0.3,0.865,9.89E-01
NFYC,-1.57,9.42E-01,-1.977,0.19,0.865,9.89E-01
ZNF75A,-1.64,9.50E-01,-1.905,0.166,0.866,9.89E-01
ATOH1,-1.386,9.17E-01,-2.204,0.236,0.867,9.89E-01
TFDP1,-2.46,9.93E-01,-2.158,0.323,0.867,9.90E-01
ZNF131,-1.707,9.56E-01,-1.818,0.131,0.867,9.90E-01
TET1,-1.254,8.95E-01,-2.451,0.264,0.868,9.90E-01
PTPN11,-1.277,8.99E-01,-2.406,0.259,0.87,9.90E-01
CHD1,-4.547,1.00E+00,-2.826,0.388,0.87,9.90E-01
EPC1,-2.228,9.87E-01,-1.834,0.205,0.87,9.90E-01
SIX5,-2.81,9.98E-01,-2.057,0.308,0.871,9.90E-01
SMAD5,-2.045,9.80E-01,-1.998,0.246,0.872,9.91E-01
TDRD3,-1.613,9.47E-01,-2.008,0.176,0.872,9.91E-01
ZNF343,-1.082,8.60E-01,-3.012,0.293,0.873,9.91E-01
TAF1,-3.353,1.00E+00,-2.73,0.382,0.873,9.91E-01
ZNF100,-1.461,9.28E-01,-2.504,0.306,0.875,9.91E-01
MYCN,-3.192,9.99E-01,-2.578,0.368,0.875,9.91E-01
CDK6,-1.169,8.79E-01,-2.733,0.278,0.875,9.91E-01
EMSY,-1.701,9.56E-01,-1.949,0.136,0.876,9.91E-01
VEZF1,-1.742,9.59E-01,-2.179,0.273,0.876,9.92E-01
SAP30,-2.687,9.96E-01,-2.486,0.349,0.879,9.92E-01
E2F1,-8.515,1.00E+00,-2.639,0.38,0.879,9.92E-01
ELL2,-3.733,1.00E+00,-2.238,0.339,0.88,9.92E-01
XCL1,-1.235,8.92E-01,-2.623,0.267,0.88,9.92E-01
ELK4,-3.052,9.99E-01,-1.929,0.239,0.881,9.92E-01
KDM5C,-1.966,9.75E-01,-2.707,0.35,0.881,9.92E-01
NRF1,-6.073,1.00E+00,-2.546,0.368,0.882,9.93E-01
FGFR1,-1.615,9.47E-01,-2.706,0.333,0.883,9.93E-01
KMT2D,-3.723,1.00E+00,-2.107,0.311,0.883,9.93E-01
