TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
SPI1,-6.904,1.00E+00,-1.364,0.539,0.656,8.17E-01
LDB1,-0.59,7.22E-01,0.11,0.428,0.658,8.20E-01
MED1,-7.051,1.00E+00,-2.709,0.627,0.658,8.20E-01
KLF6,-0.222,5.88E-01,-1.444,0.461,0.659,8.21E-01
TBL1XR1,-0.569,7.15E-01,-1.196,0.475,0.663,8.28E-01
XBP1,-1.099,8.64E-01,-0.878,0.486,0.663,8.28E-01
WDR5,-1.534,9.38E-01,-2.323,0.549,0.665,8.30E-01
ZSCAN5A,-0.432,6.67E-01,-1.168,0.463,0.665,8.30E-01
MECP2,-0.715,7.63E-01,-1.869,0.499,0.669,8.37E-01
E2F5,-0.415,6.61E-01,-1.203,0.46,0.669,8.37E-01
STAT5A,-0.976,8.35E-01,-1.282,0.49,0.67,8.38E-01
MED12,-1.265,8.97E-01,-1.841,0.517,0.67,8.38E-01
RELB,-0.974,8.35E-01,-0.421,0.465,0.672,8.41E-01
ZKSCAN8,-0.552,7.09E-01,-0.694,0.452,0.672,8.41E-01
MYF5,-0.45,6.74E-01,-0.718,0.442,0.674,8.44E-01
TAL1,-3.7,1.00E+00,-0.191,0.495,0.674,8.45E-01
ZKSCAN5,-0.205,5.81E-01,-1.734,0.463,0.675,8.45E-01
MORC2,-1.296,9.02E-01,-1.444,0.502,0.676,8.47E-01
GPS2,-0.286,6.13E-01,-1.413,0.456,0.677,8.48E-01
ZNF468,-0.282,6.11E-01,-1.431,0.457,0.677,8.48E-01
SP3,-0.261,6.03E-01,-1.748,0.468,0.678,8.49E-01
PGR,-0.654,7.44E-01,-0.112,0.421,0.678,8.49E-01
TAF7,-1.216,8.88E-01,-1.388,0.498,0.678,8.50E-01
TTF2,-0.766,7.78E-01,-1.568,0.486,0.68,8.52E-01
GLYR1,-0.226,5.89E-01,-1.728,0.461,0.681,8.54E-01
ATF1,-1.517,9.35E-01,-1.454,0.505,0.684,8.58E-01
ZNF611,-0.399,6.55E-01,-1.163,0.446,0.684,8.58E-01
ZNF584,-0.598,7.25E-01,-0.789,0.45,0.684,8.58E-01
ELF1,-1.821,9.66E-01,-2.177,0.534,0.688,8.63E-01
ASCL2,-0.421,6.63E-01,-1.107,0.444,0.688,8.63E-01
CASP8AP2,-0.497,6.90E-01,-0.8,0.437,0.688,8.63E-01
PRAME,-0.386,6.50E-01,-1.29,0.448,0.691,8.67E-01
