TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
HHEX,-2.097,9.82E-01,-1.345,0.352,0.867,9.89E-01
SMARCC2,-1.388,9.17E-01,-2.081,0.394,0.867,9.90E-01
TGIF2,-1.314,9.06E-01,-2.832,0.41,0.868,9.90E-01
ELK1,-2.944,9.98E-01,-1.857,0.432,0.869,9.90E-01
MAFB,-1.365,9.14E-01,-1.919,0.362,0.869,9.90E-01
GREB1,-3.689,1.00E+00,-0.918,0.338,0.87,9.90E-01
HEY1,-1.397,9.19E-01,-2.707,0.41,0.872,9.91E-01
RAC3,-1.503,9.34E-01,-1.84,0.345,0.874,9.91E-01
NFRKB,-1.76,9.61E-01,-1.702,0.379,0.875,9.91E-01
AUTS2,-1.15,8.75E-01,-2.462,0.382,0.876,9.92E-01
L3MBTL4,-1.093,8.63E-01,-2.724,0.386,0.877,9.92E-01
MECOM,-1.533,9.37E-01,-1.855,0.34,0.877,9.92E-01
HBP1,-1.369,9.15E-01,-2.594,0.395,0.881,9.92E-01
HOXA4,-1.115,8.68E-01,-3.375,0.384,0.883,9.93E-01
ELL2,-2.906,9.98E-01,-1.896,0.422,0.883,9.93E-01
SREBF1,-2.397,9.92E-01,-2.219,0.435,0.883,9.93E-01
HES1,-2.061,9.80E-01,-2.337,0.427,0.886,9.93E-01
NR2C2,-4.145,1.00E+00,-2.186,0.439,0.89,9.94E-01
NKRF,-1.764,9.61E-01,-2.077,0.401,0.89,9.94E-01
ARNTL,-2.212,9.87E-01,-1.934,0.399,0.892,9.94E-01
E2F3,-1.27,8.98E-01,-3.207,0.371,0.892,9.94E-01
RFX2,-1.471,9.29E-01,-2.13,0.35,0.893,9.94E-01
KMT2D,-3.319,1.00E+00,-1.953,0.417,0.894,9.95E-01
PPARGC1A,-1.423,9.23E-01,-2.389,0.357,0.895,9.95E-01
SNAPC1,-1.724,9.58E-01,-1.682,0.262,0.895,9.95E-01
SPDEF,-1.928,9.73E-01,-2.512,0.416,0.896,9.95E-01
XBP1,-2.262,9.88E-01,-2.287,0.417,0.896,9.95E-01
CTBP1,-2.23,9.87E-01,-1.876,0.384,0.899,9.95E-01
ASCL2,-1.464,9.28E-01,-2.391,0.351,0.901,9.96E-01
ZNF75A,-1.678,9.53E-01,-1.937,0.304,0.903,9.96E-01
GMEB1,-1.726,9.58E-01,-1.754,0.246,0.903,9.96E-01
DDX21,-1.849,9.68E-01,-1.964,0.368,0.903,9.96E-01
NR1H3,-2.549,9.95E-01,-1.914,0.393,0.903,9.96E-01
ZNF131,-1.71,9.56E-01,-1.82,0.287,0.904,9.96E-01
SMAD5,-1.97,9.76E-01,-1.951,0.371,0.904,9.96E-01
EMSY,-1.686,9.54E-01,-1.937,0.3,0.905,9.96E-01
GRHL1,-1.73,9.58E-01,-1.791,0.214,0.908,9.97E-01
NELFA,-4.457,1.00E+00,-1.971,0.408,0.908,9.97E-01
KLF6,-1.428,9.23E-01,-3.22,0.356,0.908,9.97E-01
CAMTA2,-1.697,9.55E-01,-1.938,0.294,0.908,9.97E-01
ELF2,-1.728,9.58E-01,-1.811,0.231,0.908,9.97E-01
PAF1,-4.743,1.00E+00,-2.448,0.431,0.909,9.97E-01
BARX2,-1.715,9.57E-01,-1.87,0.283,0.909,9.97E-01
FEV,-1.624,9.48E-01,-2.228,0.32,0.911,9.97E-01
NFYC,-1.668,9.52E-01,-2.062,0.307,0.911,9.97E-01
MXD3,-1.681,9.54E-01,-2.013,0.302,0.911,9.97E-01
RBCK1,-1.689,9.54E-01,-1.975,0.299,0.911,9.97E-01
NPAT,-1.526,9.37E-01,-2.6,0.341,0.912,9.97E-01
HOXA6,-1.487,9.32E-01,-2.878,0.348,0.912,9.97E-01
RUVBL1,-1.613,9.47E-01,-2.328,0.324,0.913,9.97E-01
NCAPG,-2.829,9.98E-01,-1.852,0.366,0.913,9.97E-01
CREB3L4,-1.679,9.53E-01,-2.094,0.303,0.916,9.97E-01
NFAT5,-1.674,9.53E-01,-2.141,0.305,0.916,9.97E-01
RARG,-2.434,9.93E-01,-1.958,0.374,0.916,9.97E-01
EPC1,-2.301,9.89E-01,-1.879,0.338,0.916,9.97E-01
ZBTB7B,-1.659,9.52E-01,-2.263,0.31,0.917,9.97E-01
RBP2,-1.71,9.56E-01,-1.991,0.287,0.918,9.98E-01
ARNT2,-1.643,9.50E-01,-2.395,0.316,0.919,9.98E-01
E2F8,-1.6,9.45E-01,-2.616,0.328,0.92,9.98E-01
HOXA1,-1.708,9.56E-01,-2.048,0.288,0.92,9.98E-01
ZBTB10,-1.688,9.54E-01,-2.169,0.299,0.921,9.98E-01
VEZF1,-1.992,9.77E-01,-2.402,0.385,0.921,9.98E-01
GABP,-1.749,9.60E-01,-2.835,0.386,0.921,9.98E-01
CASP8AP2,-1.689,9.54E-01,-2.161,0.299,0.922,9.98E-01
FOXG1,-1.651,9.51E-01,-2.426,0.314,0.923,9.98E-01
MEN1,-2.096,9.82E-01,-2.11,0.351,0.924,9.98E-01
WDHD1,-1.931,9.73E-01,-2.307,0.362,0.924,9.98E-01
KLF5,-4.038,1.00E+00,-3.023,0.421,0.925,9.98E-01
DLX1,-1.663,9.52E-01,-2.543,0.309,0.926,9.98E-01
GMEB2,-2.317,9.90E-01,-1.967,0.326,0.928,9.98E-01
SRSF3,-2.112,9.83E-01,-2.301,0.356,0.929,9.98E-01
KLF3,-1.723,9.58E-01,-2.177,0.264,0.932,9.99E-01
ZNF592,-2.287,9.89E-01,-2.055,0.326,0.933,9.99E-01
BCAT1,-2.149,9.84E-01,-2.363,0.354,0.933,9.99E-01
NR1H2,-2.892,9.98E-01,-2.175,0.377,0.933,9.99E-01
SOX9,-2.054,9.80E-01,-3.001,0.371,0.936,9.99E-01
BARX1,-1.712,9.57E-01,-2.372,0.284,0.936,9.99E-01
SOX13,-2.17,9.85E-01,-2.384,0.346,0.937,9.99E-01
KLF10,-2.227,9.87E-01,-2.285,0.334,0.937,9.99E-01
E2F2,-1.714,9.57E-01,-2.39,0.283,0.938,9.99E-01
ETV7,-1.711,9.57E-01,-2.47,0.287,0.939,9.99E-01
FOXD2,-1.706,9.56E-01,-2.721,0.29,0.94,9.99E-01
KDM5A,-3.345,1.00E+00,-1.947,0.315,0.94,9.99E-01
ELK4,-3.285,1.00E+00,-2.03,0.331,0.942,9.99E-01
DNMT3B,-3.271,1.00E+00,-3.065,0.395,0.942,9.99E-01
CREM,-2.571,9.95E-01,-2.569,0.372,0.943,9.99E-01
ZNF687,-2.192,9.86E-01,-2.58,0.337,0.945,9.99E-01
ETV4,-2.364,9.91E-01,-3.311,0.38,0.945,9.99E-01
ETV5,-2.351,9.91E-01,-2.314,0.312,0.948,9.99E-01
EHF,-2.684,9.96E-01,-2.614,0.363,0.949,9.99E-01
MNT,-2.629,9.96E-01,-2.683,0.355,0.951,1.00E+00
