TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
SPI1,-3.615,1.00E+00,-0.634,0.71,0.513,5.30E-01
MCM2,-0.717,7.63E-01,0.351,0.538,0.514,5.31E-01
ARNTL,-0.578,7.18E-01,-0.641,0.576,0.514,5.32E-01
MEF2C,-0.141,5.56E-01,-0.73,0.564,0.517,5.38E-01
KDM1A,-1.455,9.27E-01,-0.665,0.616,0.518,5.41E-01
CDK2,-0.968,8.34E-01,0.26,0.551,0.519,5.43E-01
DRAP1,-0.09,5.36E-01,-0.786,0.566,0.519,5.43E-01
TRIM28,-4.426,1.00E+00,-0.674,0.719,0.522,5.49E-01
ZNF324,-0.164,5.65E-01,-1.02,0.581,0.522,5.49E-01
FOXK1,-1.349,9.11E-01,-0.648,0.607,0.523,5.53E-01
TARDBP,-0.302,6.19E-01,-1.104,0.59,0.525,5.57E-01
ELK1,-0.721,7.65E-01,-0.949,0.598,0.526,5.57E-01
SS18,-0.114,5.46E-01,-0.991,0.577,0.526,5.57E-01
NKRF,-0.293,6.15E-01,-0.824,0.572,0.526,5.58E-01
IRF5,-0.737,7.69E-01,0.257,0.537,0.526,5.58E-01
REST,-6.469,1.00E+00,-0.115,0.628,0.527,5.61E-01
RBCK1,-0.226,5.90E-01,-0.726,0.561,0.528,5.62E-01
ZNF563,-0.687,7.54E-01,0.033,0.54,0.528,5.64E-01
ZNF506,-0.668,7.48E-01,-0.032,0.541,0.53,5.66E-01
NANOG,-3.475,1.00E+00,-0.129,0.62,0.53,5.67E-01
FOXJ2,-0.402,6.56E-01,-0.621,0.56,0.53,5.67E-01
RUNX3,-0.368,6.44E-01,-0.535,0.556,0.531,5.69E-01
HOXC9,-0.858,8.04E-01,0.095,0.544,0.532,5.73E-01
ZNF425,-0.351,6.37E-01,-0.604,0.556,0.535,5.77E-01
TAZ,-0.429,6.66E-01,-0.511,0.553,0.536,5.80E-01
TAL1,-5.376,1.00E+00,-0.706,0.694,0.539,5.87E-01
EBF3,-1.34,9.10E-01,-0.032,0.565,0.54,5.90E-01
ZNF35,-0.225,5.89E-01,-0.808,0.562,0.541,5.91E-01
ZNF24,-0.759,7.76E-01,-0.807,0.583,0.542,5.94E-01
EPC1,-0.597,7.25E-01,-0.83,0.577,0.543,5.96E-01
FOXO3,-0.474,6.82E-01,-0.919,0.577,0.543,5.96E-01
