TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZIC2,0.84,2.01E-01,0.157,0.493,0.4,2.84E-01
CBFA2T2,0.437,3.31E-01,1.338,0.471,0.401,2.86E-01
PRKDC,0.419,3.38E-01,0.506,0.496,0.401,2.86E-01
ZNF394,0.826,2.04E-01,0.487,0.482,0.403,2.89E-01
ZXDB,0.966,1.67E-01,0.261,0.484,0.403,2.91E-01
CEBPB,-0.722,7.65E-01,0.356,0.546,0.404,2.91E-01
HIC1,0.754,2.25E-01,0.58,0.48,0.404,2.91E-01
ATF4,0.113,4.55E-01,1.103,0.491,0.405,2.94E-01
CEBPD,0.173,4.31E-01,-0.021,0.521,0.405,2.94E-01
MECP2,0.853,1.97E-01,-0.126,0.497,0.405,2.95E-01
NR3C1,-1.522,9.36E-01,0.53,0.607,0.408,2.99E-01
MYB,0.713,2.38E-01,0.409,0.486,0.411,3.05E-01
MYCN,0.5,3.09E-01,-0.644,0.524,0.412,3.09E-01
ZNF563,0.347,3.64E-01,1.451,0.465,0.413,3.10E-01
TBL1X,0.72,2.36E-01,0.335,0.486,0.414,3.13E-01
WRNIP1,0.641,2.61E-01,0.541,0.481,0.415,3.14E-01
FOXH1,0.421,3.37E-01,1.278,0.466,0.417,3.18E-01
AR,-2.293,9.89E-01,1.075,0.621,0.418,3.21E-01
TOP1,0.682,2.48E-01,0.633,0.471,0.42,3.24E-01
YAP1,-0.128,5.51E-01,0.368,0.51,0.421,3.26E-01
CTBP2,0.087,4.66E-01,-0.073,0.518,0.421,3.27E-01
ETS1,0.375,3.54E-01,-0.75,0.531,0.421,3.27E-01
BHLHE40,0.168,4.33E-01,-0.453,0.528,0.422,3.28E-01
MAF,0.229,4.10E-01,0.715,0.488,0.422,3.28E-01
MBD2,-0.503,6.92E-01,-0.91,0.662,0.423,3.30E-01
PHF8,0.735,2.31E-01,-0.866,0.519,0.423,3.30E-01
CCND2,0.717,2.37E-01,0.21,0.486,0.423,3.31E-01
GPS2,0.653,2.57E-01,0.344,0.482,0.427,3.40E-01
LEO1,0.48,3.16E-01,0.649,0.473,0.429,3.43E-01
ZNF501,0.83,2.03E-01,-0.054,0.485,0.429,3.44E-01
KLF8,0.74,2.30E-01,-0.111,0.489,0.431,3.49E-01
