TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
CBX5,-0.748,7.73E-01,-0.515,0.564,0.678,8.50E-01
SIRT6,-0.586,7.21E-01,-0.37,0.548,0.679,8.51E-01
AGO2,-0.255,6.01E-01,-0.821,0.562,0.679,8.51E-01
ZNF131,-0.314,6.23E-01,-0.752,0.56,0.679,8.51E-01
GATA1,-4.7,1.00E+00,-0.584,0.603,0.68,8.52E-01
ZBTB26,-0.532,7.03E-01,-2.028,0.599,0.68,8.52E-01
INO80,-0.883,8.12E-01,-1.323,0.597,0.68,8.52E-01
TERF1,-0.498,6.91E-01,-0.544,0.552,0.681,8.54E-01
RAG2,0.053,4.79E-01,-1.573,0.573,0.681,8.54E-01
SPI1,-4.589,1.00E+00,-0.85,0.612,0.682,8.55E-01
ZNF202,-0.728,7.67E-01,-0.494,0.56,0.683,8.57E-01
ZNF273,-0.032,5.13E-01,-1.45,0.57,0.684,8.59E-01
WWTR1,-0.835,7.98E-01,-0.283,0.548,0.685,8.59E-01
SP7,-0.121,5.48E-01,-1.202,0.568,0.686,8.61E-01
MEF2D,-0.814,7.92E-01,-0.34,0.55,0.686,8.61E-01
ZNF318,-0.912,8.19E-01,-0.461,0.563,0.688,8.63E-01
PRDM10,-0.211,5.84E-01,-1.076,0.567,0.688,8.64E-01
MCM7,-1.23,8.91E-01,-0.042,0.548,0.691,8.67E-01
DRAP1,-0.23,5.91E-01,-1.018,0.563,0.692,8.69E-01
MYH11,-0.385,6.50E-01,-1.704,0.586,0.698,8.76E-01
FANCD2,-0.883,8.11E-01,-0.211,0.531,0.698,8.76E-01
SREBF2,-0.329,6.29E-01,-0.907,0.559,0.699,8.77E-01
ZNF586,-1.189,8.83E-01,0.252,0.509,0.7,8.78E-01
BIRA,-1.317,9.06E-01,-0.414,0.568,0.701,8.79E-01
ZNF766,-0.892,8.14E-01,-0.803,0.572,0.701,8.80E-01
ETS1,-2.255,9.88E-01,-1.612,0.618,0.701,8.80E-01
REL,-0.232,5.92E-01,-1.174,0.566,0.702,8.81E-01
JMJD1C,-0.944,8.28E-01,-0.744,0.569,0.703,8.82E-01
ZNF740,-0.497,6.90E-01,-1.035,0.568,0.703,8.82E-01
LEO1,-0.366,6.43E-01,-0.894,0.558,0.704,8.83E-01
USP49,-1.161,8.77E-01,0.138,0.511,0.704,8.84E-01
ZNF611,-0.319,6.25E-01,-1.009,0.56,0.707,8.87E-01
INTS3,-0.152,5.61E-01,-1.467,0.566,0.707,8.87E-01
ZNF808,-1.147,8.74E-01,0.101,0.512,0.708,8.88E-01
ZNF654,-0.763,7.77E-01,-0.659,0.551,0.711,8.92E-01
ZNF17,-1.017,8.46E-01,-0.162,0.521,0.712,8.93E-01
NFKB1,-0.843,8.00E-01,-0.933,0.569,0.715,8.96E-01
ZNF93,-0.528,7.01E-01,-0.834,0.551,0.715,8.96E-01
CD59,-0.552,7.10E-01,-0.803,0.549,0.718,8.99E-01
ZNF486,-1.617,9.47E-01,0.303,0.515,0.718,8.99E-01
EBNA3,-0.795,7.87E-01,-0.541,0.536,0.72,9.01E-01
YAP1,-3.165,9.99E-01,-1.137,0.606,0.722,9.04E-01
FLI1,-2.787,9.97E-01,-1.985,0.618,0.722,9.04E-01
BANP,-1.003,8.42E-01,-0.591,0.55,0.725,9.06E-01
NFE2,-1.17,8.79E-01,-0.885,0.572,0.726,9.08E-01
WRNIP1,-0.28,6.10E-01,-1.435,0.561,0.726,9.08E-01
EBF1,-1.334,9.09E-01,-0.792,0.573,0.728,9.09E-01
ZNF48,-1.194,8.84E-01,-0.077,0.508,0.728,9.09E-01
OVOL3,-0.699,7.58E-01,-0.933,0.559,0.729,9.11E-01
MLLT3,-0.381,6.49E-01,-1.145,0.557,0.729,9.11E-01
CDK12,-0.313,6.23E-01,-1.369,0.56,0.73,9.12E-01
HOTAIR,-1.805,9.65E-01,0.105,0.534,0.731,9.13E-01
STAT4,-1.302,9.04E-01,-0.655,0.562,0.732,9.13E-01
PPARG,-5.383,1.00E+00,-1.766,0.617,0.734,9.15E-01
TSHZ1,-0.66,7.45E-01,-1.179,0.564,0.736,9.17E-01
SMARCC1,-2.776,9.97E-01,-1.555,0.607,0.736,9.17E-01
ZNF674,-0.241,5.95E-01,-1.711,0.563,0.737,9.18E-01
GLYR1,-0.231,5.92E-01,-1.74,0.563,0.737,9.18E-01
ZNF445,-1.149,8.75E-01,-0.25,0.512,0.737,9.18E-01
ZNF280A,-1.132,8.71E-01,-0.312,0.513,0.739,9.20E-01
ARID5B,-0.569,7.15E-01,-1.014,0.549,0.74,9.21E-01
PDX1,-1.25,8.94E-01,-0.432,0.541,0.742,9.22E-01
ATF4,-2.992,9.99E-01,-0.947,0.594,0.743,9.24E-01
ZNF304,-1.053,8.54E-01,-0.405,0.518,0.743,9.24E-01
MAFG,-1.258,8.96E-01,-0.387,0.532,0.744,9.24E-01
PRDM12,-1.311,9.05E-01,-0.142,0.498,0.744,9.24E-01
KAT8,-0.878,8.10E-01,-1.026,0.561,0.744,9.24E-01
SRCAP,-1.051,8.53E-01,-0.423,0.519,0.744,9.25E-01
ZNF597,-0.727,7.66E-01,-0.84,0.541,0.745,9.26E-01
ZNF281,-0.461,6.78E-01,-1.292,0.554,0.746,9.26E-01
LMO1,-0.611,7.29E-01,-1.011,0.547,0.747,9.27E-01
ZNF343,-0.277,6.09E-01,-1.836,0.562,0.747,9.27E-01
HMBOX1,-0.761,7.77E-01,-0.811,0.539,0.747,9.27E-01
ZNF282,-0.495,6.90E-01,-1.611,0.563,0.749,9.29E-01
ZNF549,-0.929,8.24E-01,-0.639,0.528,0.749,9.29E-01
TERF2,-0.691,7.55E-01,-0.92,0.543,0.75,9.30E-01
IKZF1,-2.476,9.93E-01,-0.66,0.575,0.751,9.30E-01
ARID3A,-1.227,8.90E-01,-0.787,0.556,0.754,9.33E-01
ZNF264,-0.984,8.37E-01,-1.068,0.562,0.754,9.33E-01
ZNF483,-0.438,6.69E-01,-1.594,0.555,0.758,9.36E-01
ZNF274,-1.841,9.67E-01,-0.196,0.53,0.76,9.38E-01
KLF15,-2.809,9.98E-01,-2.878,0.609,0.762,9.40E-01
HIRA,-2.88,9.98E-01,-1.538,0.599,0.762,9.40E-01
OTX2,-5.124,1.00E+00,-0.728,0.58,0.763,9.40E-01
NKX3-1,-1.635,9.49E-01,-0.32,0.526,0.763,9.40E-01
SND1,-1.52,9.36E-01,-0.688,0.555,0.766,9.42E-01
OSR2,-1.131,8.71E-01,-1.034,0.559,0.766,9.43E-01
