TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZNF781,1.347,8.90E-02,2.822,0.545,0.156,1.72E-02
ZNF92,1.311,9.50E-02,2.405,0.558,0.157,1.74E-02
BACH1,1.846,3.24E-02,2.195,0.549,0.158,1.78E-02
CBX3,1.171,1.21E-01,2.483,0.561,0.161,1.87E-02
KDM3B,1.836,3.32E-02,1.749,0.572,0.163,1.96E-02
RELA,3.229,6.22E-04,0.613,0.685,0.165,2.01E-02
POU5F1,3.754,8.68E-05,1.722,0.547,0.168,2.12E-02
ZNF16,1.135,1.28E-01,2.337,0.567,0.168,2.12E-02
RUNX2,1.031,1.51E-01,2.15,0.583,0.168,2.12E-02
RCOR1,1.053,1.46E-01,1.991,0.594,0.168,2.13E-02
ERCC2,1.116,1.32E-01,3.862,0.546,0.168,2.13E-02
BATF,2.129,1.66E-02,1.744,0.559,0.169,2.17E-02
ZNF654,1.903,2.85E-02,1.772,0.561,0.171,2.25E-02
DNMT3A,1.577,5.74E-02,1.83,0.567,0.171,2.27E-02
CREBBP,1.108,1.34E-01,1.49,0.653,0.175,2.43E-02
ZNF837,1.373,8.49E-02,2.082,0.553,0.177,2.47E-02
SMAD2,1.646,4.99E-02,1.852,0.556,0.177,2.49E-02
CNOT3,1.958,2.51E-02,1.442,0.573,0.177,2.51E-02
MAFK,1.243,1.07E-01,1.856,0.574,0.179,2.57E-02
CBX2,1.442,7.46E-02,1.668,0.571,0.182,2.71E-02
STAT1,2.431,7.54E-03,1.324,0.566,0.183,2.77E-02
NEUROG2,2.847,2.20E-03,1.579,0.545,0.185,2.86E-02
ZBTB17,1.12,1.31E-01,1.74,0.588,0.186,2.89E-02
ZBTB2,1.526,6.35E-02,1.85,0.552,0.188,2.97E-02
TEAD2,1.354,8.79E-02,2.386,0.535,0.189,3.04E-02
DNMT1,1.162,1.23E-01,1.68,0.577,0.193,3.22E-02
ZFP41,1.287,9.91E-02,2.584,0.532,0.193,3.22E-02
TCF7L1,1.877,3.03E-02,1.632,0.548,0.196,3.38E-02
MITF,1.388,8.26E-02,2.138,0.538,0.196,3.40E-02
TRIM24,1.294,9.78E-02,1.873,0.551,0.198,3.50E-02
MCM2,1.1,1.36E-01,2.377,0.544,0.198,3.52E-02
CLOCK,0.509,3.05E-01,2.239,0.609,0.2,3.61E-02
HIF1A,1.052,1.47E-01,2.732,0.535,0.201,3.65E-02
MAX,2.4,8.21E-03,0.543,0.609,0.201,3.67E-02
BHLHE40,1.179,1.19E-01,1.248,0.602,0.202,3.69E-02
ZNF585B,1.064,1.44E-01,2.728,0.534,0.202,3.69E-02
AEBP2,1.201,1.15E-01,2.286,0.536,0.203,3.79E-02
ZMYND8,1.843,3.27E-02,0.923,0.586,0.204,3.83E-02
REST,1.211,1.13E-01,1.552,0.571,0.206,3.91E-02
ARNT,0.987,1.62E-01,2.255,0.547,0.207,4.02E-02
FOXH1,1.142,1.27E-01,1.93,0.549,0.209,4.10E-02
ZNF438,1.102,1.35E-01,2.192,0.544,0.211,4.21E-02
IKZF1,2.114,1.73E-02,1.357,0.547,0.211,4.23E-02
IKZF2,1.469,7.09E-02,1.778,0.544,0.211,4.23E-02
MAFG,1.254,1.05E-01,2.339,0.529,0.212,4.27E-02
ASCL1,1.139,1.27E-01,1.331,0.587,0.212,4.29E-02
TOP1,1.395,8.15E-02,1.248,0.572,0.212,4.29E-02
BRD7,1.267,1.03E-01,1.63,0.555,0.213,4.36E-02
ZEB1,1.435,7.57E-02,0.768,0.613,0.213,4.36E-02
VDR,1.257,1.04E-01,0.696,0.656,0.214,4.43E-02
DACOR1,0.953,1.70E-01,2.596,0.534,0.216,4.56E-02
RYBP,1.992,2.32E-02,0.728,0.58,0.217,4.58E-02
ING5,0.912,1.81E-01,2.922,0.531,0.218,4.65E-02
KLF16,1.326,9.25E-02,1.868,0.537,0.22,4.79E-02
SNAI2,2.114,1.73E-02,1.257,0.545,0.221,4.86E-02
ZFP64,1.128,1.30E-01,2.035,0.539,0.222,4.91E-02
FLI1,1.58,5.70E-02,1.058,0.566,0.223,5.01E-02
EGR3,1.16,1.23E-01,1.749,0.548,0.226,5.18E-02
MYOG,1.002,1.58E-01,1.937,0.546,0.226,5.20E-02
ZNF366,1.216,1.12E-01,2.134,0.529,0.226,5.23E-02
HIC1,1.358,8.72E-02,1.721,0.538,0.228,5.35E-02
CHRM2,1.036,1.50E-01,1.105,0.597,0.229,5.38E-02
ICE1,1.367,8.57E-02,1.775,0.535,0.229,5.40E-02
PRDM1,1.161,1.23E-01,1.331,0.569,0.23,5.45E-02
DUX4,0.886,1.88E-01,1.876,0.556,0.23,5.45E-02
ZNF362,1.178,1.19E-01,2.204,0.525,0.231,5.56E-02
MEF2A,0.92,1.79E-01,1.175,0.605,0.232,5.58E-02
SMARCE1,1.214,1.12E-01,2.433,0.518,0.232,5.61E-02
ZNF697,0.827,2.04E-01,3.129,0.527,0.232,5.61E-02
ZNF793,1.118,1.32E-01,2.224,0.528,0.233,5.69E-02
ZNF800,1.082,1.40E-01,2.5,0.521,0.234,5.79E-02
TTF1,1.173,1.20E-01,2.044,0.528,0.235,5.85E-02
ARID1A,0.634,2.63E-01,1.474,0.614,0.237,5.98E-02
DMC1,0.947,1.72E-01,2.247,0.533,0.237,5.98E-02
DDX20,1.334,9.11E-02,1.508,0.542,0.238,6.04E-02
ZNF263,1.946,2.58E-02,1.223,0.539,0.239,6.12E-02
BAHD1,0.912,1.81E-01,2.386,0.529,0.24,6.23E-02
GLIS1,1.5,6.68E-02,1.473,0.536,0.24,6.23E-02
L3MBTL2,1.205,1.14E-01,1.878,0.53,0.24,6.26E-02
ZNF24,1.735,4.14E-02,1.384,0.534,0.242,6.34E-02
DEK,1.132,1.29E-01,1.483,0.55,0.243,6.43E-02
ZNF141,0.967,1.67E-01,2.017,0.535,0.244,6.52E-02
KDM5C,1.702,4.44E-02,0.34,0.589,0.244,6.54E-02
TCF12,1.022,1.53E-01,1.242,0.571,0.246,6.72E-02
KDM5B,1.647,4.98E-02,0.522,0.577,0.246,6.72E-02
KDM2B,3.079,1.04E-03,-0.268,0.599,0.248,6.90E-02
