TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
PRDM12,0.358,3.60E-01,1.996,0.473,0.343,1.82E-01
CEBPD,0.42,3.37E-01,0.447,0.507,0.343,1.82E-01
DPPA2,0.472,3.19E-01,1.499,0.478,0.344,1.83E-01
ZNF24,0.807,2.10E-01,0.569,0.488,0.345,1.86E-01
NCAPG2,0.464,3.21E-01,1.515,0.478,0.346,1.86E-01
C17orf49,0.884,1.88E-01,0.299,0.491,0.346,1.87E-01
ZNF485,0.427,3.35E-01,1.682,0.476,0.347,1.87E-01
PRDM6,0.577,2.82E-01,0.96,0.484,0.347,1.88E-01
ZNF592,0.567,2.85E-01,1.029,0.483,0.348,1.89E-01
ZNF707,0.136,4.46E-01,1.491,0.491,0.35,1.93E-01
HJURP,0.397,3.46E-01,1.803,0.475,0.35,1.94E-01
ZNF549,0.364,3.58E-01,1.868,0.473,0.352,1.96E-01
ZNF788,0.448,3.27E-01,1.766,0.472,0.353,1.97E-01
ERCC6,0.081,4.68E-01,-0.134,0.552,0.354,2.00E-01
BCL11A,-0.037,5.15E-01,0.128,0.552,0.354,2.00E-01
L3MBTL2,0.66,2.55E-01,0.919,0.48,0.355,2.01E-01
ZNF318,0.593,2.77E-01,0.757,0.484,0.356,2.02E-01
ZNF280A,0.311,3.78E-01,1.951,0.471,0.357,2.04E-01
AEBP2,0.377,3.53E-01,1.37,0.48,0.358,2.07E-01
ZMIZ1,0.507,3.06E-01,0.391,0.494,0.36,2.10E-01
SETX,0.669,2.52E-01,0.368,0.488,0.361,2.11E-01
KDM4A,0.226,4.10E-01,-0.438,0.547,0.362,2.14E-01
HOXC9,0.495,3.11E-01,1.434,0.474,0.362,2.14E-01
PBX3,0.146,4.42E-01,0.178,0.521,0.363,2.16E-01
CREB3L4,0.498,3.09E-01,0.98,0.48,0.364,2.17E-01
TCF7L1,-0.045,5.18E-01,0.264,0.531,0.365,2.19E-01
PDX1,0.444,3.29E-01,1.324,0.476,0.366,2.21E-01
ZNF17,0.317,3.76E-01,1.828,0.471,0.367,2.22E-01
SOX4,0.589,2.78E-01,0.851,0.479,0.368,2.24E-01
CDC5L,0.543,2.94E-01,0.853,0.48,0.368,2.25E-01
CSDE1,0.593,2.76E-01,0.666,0.481,0.369,2.26E-01
MYF5,0.464,3.22E-01,1.004,0.478,0.372,2.30E-01
CBX5,-0.141,5.56E-01,0.313,0.53,0.372,2.30E-01
ZEB2,0.709,2.39E-01,0.56,0.479,0.372,2.32E-01
ZFP41,0.367,3.57E-01,1.67,0.47,0.375,2.36E-01
FOXK2,0.435,3.32E-01,0.686,0.483,0.376,2.39E-01
ZBTB17,0.138,4.45E-01,0.158,0.514,0.378,2.42E-01
RAD51,0.285,3.88E-01,1.13,0.48,0.379,2.43E-01
ZNF701,0.408,3.42E-01,1.114,0.475,0.381,2.47E-01
WHSC1,0.474,3.18E-01,1.213,0.472,0.381,2.47E-01
ZNF248,0.239,4.05E-01,1.856,0.468,0.381,2.48E-01
MIER1,0.515,3.03E-01,0.72,0.477,0.382,2.49E-01
ZNF554,0.384,3.51E-01,1.284,0.474,0.382,2.50E-01
MAML3,0.382,3.51E-01,1.331,0.473,0.383,2.52E-01
SOX10,0.369,3.56E-01,1.31,0.473,0.384,2.54E-01
ZNF133,0.275,3.92E-01,1.644,0.469,0.388,2.60E-01
ZFP57,0.288,3.87E-01,0.931,0.48,0.388,2.61E-01
TCF21,0.493,3.11E-01,0.59,0.478,0.389,2.62E-01
ZSCAN2,0.373,3.55E-01,1.074,0.474,0.392,2.68E-01
PKNOX1,0.413,3.40E-01,1.206,0.471,0.393,2.69E-01
VDR,-0.222,5.88E-01,-0.366,0.557,0.393,2.70E-01
EBF3,0.348,3.64E-01,1.308,0.472,0.393,2.71E-01
SUZ12,0.195,4.23E-01,-0.311,0.518,0.394,2.73E-01
HNF4G,-0.225,5.89E-01,0.565,0.512,0.396,2.76E-01
CBX1,0.415,3.39E-01,0.021,0.494,0.397,2.78E-01
ZNF506,0.291,3.85E-01,1.363,0.47,0.4,2.84E-01
