TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
TDRD3,-1.473,9.30E-01,-1.877,0.174,0.873,9.91E-01
NFAT5,-1.458,9.28E-01,-1.94,0.178,0.873,9.91E-01
SUPT5H,-3.29,1.00E+00,-2.362,0.346,0.875,9.91E-01
BARX2,-1.603,9.46E-01,-1.78,0.144,0.875,9.91E-01
GLI2,-2.488,9.94E-01,-3.009,0.357,0.875,9.91E-01
VEZF1,-1.632,9.49E-01,-2.08,0.253,0.876,9.91E-01
FOXP3,-1.811,9.65E-01,-1.817,0.209,0.877,9.92E-01
SIX5,-2.488,9.94E-01,-1.894,0.28,0.877,9.92E-01
GMEB1,-1.676,9.53E-01,-1.716,0.121,0.877,9.92E-01
E2F1,-7.522,1.00E+00,-2.453,0.355,0.877,9.92E-01
ZNF783,-1.096,8.63E-01,-2.814,0.242,0.878,9.92E-01
KLF12,-1.167,8.78E-01,-2.542,0.229,0.878,9.92E-01
ZSCAN22,-1.769,9.62E-01,-2.234,0.289,0.879,9.92E-01
FOXD2,-1.295,9.02E-01,-2.24,0.206,0.879,9.92E-01
FXR1,-1.334,9.09E-01,-2.2,0.199,0.88,9.92E-01
ZNF131,-1.658,9.51E-01,-1.78,0.128,0.88,9.92E-01
SOX9,-1.505,9.34E-01,-2.414,0.281,0.881,9.93E-01
ELL2,-3.241,9.99E-01,-2.035,0.302,0.882,9.93E-01
MAFB,-1.468,9.29E-01,-2.023,0.175,0.882,9.93E-01
UBTF,-1.768,9.61E-01,-2.72,0.322,0.883,9.93E-01
DEAF1,-1.463,9.28E-01,-2.05,0.177,0.883,9.93E-01
ETS1,-5.297,1.00E+00,-2.61,0.352,0.885,9.93E-01
NFYC,-1.55,9.40E-01,-1.96,0.158,0.885,9.93E-01
TAFII,-1.815,9.65E-01,-1.996,0.227,0.885,9.93E-01
ZNF75A,-1.616,9.47E-01,-1.884,0.14,0.886,9.93E-01
MAPK1,-1.525,9.36E-01,-2.743,0.296,0.886,9.93E-01
ELF2,-1.696,9.55E-01,-1.786,0.112,0.886,9.93E-01
CDK6,-1.18,8.81E-01,-2.748,0.227,0.887,9.94E-01
TFDP1,-2.405,9.92E-01,-2.124,0.282,0.888,9.94E-01
ZBTB11,-2.705,9.97E-01,-2.202,0.296,0.89,9.94E-01
EPC1,-2.139,9.84E-01,-1.779,0.17,0.891,9.94E-01
ARID2,-1.47,9.29E-01,-2.755,0.28,0.893,9.94E-01
ASH1L,-1.282,9.00E-01,-2.585,0.208,0.894,9.95E-01
CHD4,-2.014,9.78E-01,-2.235,0.271,0.894,9.95E-01
EMSY,-1.677,9.53E-01,-1.93,0.121,0.895,9.95E-01
MCRS1,-1.351,9.12E-01,-2.425,0.196,0.899,9.95E-01
RBL2,-3.293,1.00E+00,-1.923,0.231,0.899,9.95E-01
KLF6,-1.259,8.96E-01,-2.972,0.213,0.903,9.96E-01
TCOF1,-1.32,9.07E-01,-2.665,0.201,0.904,9.96E-01
INTS12,-1.257,8.96E-01,-3.209,0.213,0.904,9.96E-01
ELK1,-3.469,1.00E+00,-2.072,0.261,0.904,9.96E-01
RBP2,-1.73,9.58E-01,-2.006,0.066,0.904,9.96E-01
ORC1,-1.479,9.30E-01,-2.301,0.173,0.906,9.96E-01
DCP1A,-2.045,9.80E-01,-2.124,0.201,0.906,9.96E-01
KMT2D,-3.807,1.00E+00,-2.14,0.271,0.906,9.96E-01
E2F4,-2.944,9.98E-01,-2.376,0.295,0.907,9.96E-01
IRAK1,-1.317,9.06E-01,-2.89,0.202,0.909,9.97E-01
ELK3,-1.428,9.23E-01,-2.5,0.182,0.909,9.97E-01
IRAK4,-1.392,9.18E-01,-2.751,0.189,0.914,9.97E-01
KAT5,-2.465,9.93E-01,-2.126,0.208,0.914,9.97E-01
SRSF3,-1.982,9.76E-01,-2.213,0.189,0.915,9.97E-01
KDM4C,-1.351,9.12E-01,-3.205,0.196,0.917,9.97E-01
GTF2B,-4.526,1.00E+00,-2.206,0.261,0.918,9.98E-01
ZNF711,-1.587,9.44E-01,-2.368,0.148,0.918,9.98E-01
SMAD5,-2.236,9.87E-01,-2.119,0.163,0.919,9.98E-01
PHF6,-1.399,9.19E-01,-2.88,0.188,0.919,9.98E-01
ELK4,-3.209,9.99E-01,-1.997,0.163,0.92,9.98E-01
GMEB2,-2.413,9.92E-01,-2.02,0.116,0.922,9.98E-01
KDM5A,-3.373,1.00E+00,-1.958,0.133,0.922,9.98E-01
KDM5C,-2.088,9.82E-01,-2.809,0.27,0.924,9.98E-01
PAF1,-5.445,1.00E+00,-2.681,0.3,0.927,9.98E-01
FAM208A,-1.966,9.75E-01,-2.615,0.209,0.929,9.98E-01
U2AF1,-2.941,9.98E-01,-2.187,0.178,0.93,9.98E-01
POLR2B,-2.125,9.83E-01,-2.51,0.202,0.933,9.99E-01
TAF3,-1.562,9.41E-01,-2.828,0.154,0.934,9.99E-01
DDX21,-2.336,9.90E-01,-2.258,0.134,0.936,9.99E-01
NELFA,-5.129,1.00E+00,-2.153,0.174,0.938,9.99E-01
SPIN1,-1.725,9.58E-01,-2.558,0.088,0.938,9.99E-01
PHF8,-5.211,1.00E+00,-2.55,0.259,0.939,9.99E-01
AUTS2,-1.617,9.47E-01,-2.954,0.139,0.941,9.99E-01
RPE,-3.038,9.99E-01,-2.631,0.222,0.944,9.99E-01
BRD1,-1.659,9.52E-01,-3.225,0.128,0.948,9.99E-01
KAT7,-1.661,9.52E-01,-3.258,0.128,0.949,9.99E-01
PHF2,-2.378,9.91E-01,-3.146,0.12,0.967,1.00E+00
BRPF3,-2.756,9.97E-01,-3.468,0.162,0.968,1.00E+00
