TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
UHRF2,-0.071,5.28E-01,-1.478,0.428,0.624,7.63E-01
TAT,-0.456,6.76E-01,-0.174,0.403,0.625,7.65E-01
KDM6A,-0.378,6.47E-01,-0.484,0.409,0.625,7.65E-01
MRE11A,-0.468,6.80E-01,-0.68,0.418,0.628,7.69E-01
BIRA,-0.884,8.12E-01,0.071,0.418,0.628,7.69E-01
AFF1,-1.293,9.02E-01,-1.544,0.5,0.629,7.71E-01
NOTCH1,-1.816,9.65E-01,-1.854,0.528,0.631,7.74E-01
PYGO2,-0.705,7.60E-01,0.081,0.4,0.632,7.77E-01
NOTCH3,-0.773,7.80E-01,0.683,0.373,0.634,7.79E-01
MLLT3,-0.285,6.12E-01,-0.961,0.414,0.634,7.80E-01
ZNF518A,-0.325,6.28E-01,-1.165,0.426,0.635,7.81E-01
E2F8,-0.335,6.31E-01,-0.821,0.411,0.638,7.86E-01
FOXG1,-0.403,6.56E-01,-0.65,0.407,0.638,7.86E-01
E2F5,-0.368,6.43E-01,-1.125,0.425,0.638,7.87E-01
SND1,-0.777,7.81E-01,-0.16,0.415,0.638,7.87E-01
NCAPG,-1.18,8.81E-01,-0.343,0.449,0.638,7.88E-01
ZNF138,-0.645,7.41E-01,0.069,0.386,0.638,7.88E-01
GPS2,-0.242,5.96E-01,-1.331,0.417,0.642,7.94E-01
ZNF354C,-0.778,7.82E-01,0.505,0.372,0.642,7.94E-01
ZBTB7A,-1.44,9.25E-01,-2.033,0.518,0.643,7.96E-01
RB1,-1.363,9.14E-01,-1.483,0.49,0.643,7.96E-01
ZNF71,-0.541,7.06E-01,-1.638,0.447,0.645,7.98E-01
FOXK2,-1.121,8.69E-01,-0.53,0.446,0.645,7.99E-01
ZNF765,-0.718,7.64E-01,0.189,0.379,0.648,8.04E-01
NELFE,-5.055,1.00E+00,-1.946,0.549,0.648,8.04E-01
MYB,-1.208,8.87E-01,-0.578,0.448,0.649,8.05E-01
ZNF175,-1.057,8.55E-01,0.038,0.416,0.65,8.07E-01
ZNF792,-0.393,6.53E-01,-1.186,0.416,0.652,8.10E-01
ZBTB26,-0.49,6.88E-01,-1.969,0.452,0.655,8.16E-01
ETS2,-1.178,8.81E-01,-1.062,0.461,0.655,8.16E-01
FOXM1,-2.849,9.98E-01,-1.483,0.509,0.656,8.16E-01
PRDM11,-0.609,7.29E-01,-1.966,0.456,0.657,8.18E-01
WDHD1,-0.584,7.21E-01,-0.705,0.406,0.657,8.18E-01
