TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
RXRG,-2.196,9.86E-01,-1.368,0.411,0.791,9.59E-01
TRRAP,-1.139,8.73E-01,-1.493,0.37,0.792,9.60E-01
MED12,-1.288,9.01E-01,-1.867,0.41,0.792,9.60E-01
MEF2C,-0.767,7.79E-01,-1.73,0.356,0.793,9.60E-01
HOXA2,-0.788,7.85E-01,-1.722,0.354,0.796,9.62E-01
RUVBL1,-0.89,8.13E-01,-1.542,0.345,0.796,9.62E-01
KAT8,-1.445,9.26E-01,-1.429,0.379,0.802,9.65E-01
ARID5B,-0.969,8.34E-01,-1.492,0.337,0.803,9.66E-01
GLYR1,-0.525,7.00E-01,-2.376,0.375,0.805,9.66E-01
NFRKB,-1.28,9.00E-01,-1.294,0.346,0.807,9.68E-01
TAF1,-3.267,1.00E+00,-2.692,0.455,0.807,9.68E-01
POLR2M,-0.935,8.25E-01,-2.17,0.393,0.809,9.69E-01
RB1,-2.067,9.81E-01,-1.904,0.422,0.81,9.69E-01
ZNF343,-0.581,7.19E-01,-2.281,0.37,0.81,9.69E-01
MAPK1,-1.08,8.60E-01,-2.305,0.405,0.815,9.71E-01
HDAC6,-1.371,9.15E-01,-1.885,0.395,0.815,9.72E-01
NFE2L2,-2.327,9.90E-01,-1.309,0.385,0.817,9.72E-01
KLF13,-1.233,8.91E-01,-1.55,0.352,0.818,9.73E-01
MXD3,-1.14,8.73E-01,-1.484,0.32,0.82,9.74E-01
PAF1,-3.898,1.00E+00,-2.167,0.438,0.82,9.74E-01
KDM5C,-1.246,8.94E-01,-2.109,0.401,0.821,9.74E-01
SMARCC2,-1.117,8.68E-01,-1.763,0.354,0.822,9.75E-01
TP63,-7.622,1.00E+00,-0.885,0.366,0.824,9.75E-01
HCFC1,-2.332,9.90E-01,-1.819,0.412,0.824,9.75E-01
RFX2,-1.064,8.56E-01,-1.689,0.328,0.825,9.76E-01
CDK7,-1.559,9.41E-01,-2.152,0.412,0.826,9.76E-01
ZBTB7B,-1.082,8.60E-01,-1.649,0.326,0.826,9.76E-01
STAT2,-1.62,9.47E-01,-1.733,0.381,0.828,9.77E-01
KDM4B,-1.215,8.88E-01,-1.81,0.364,0.828,9.77E-01
VEZF1,-1.27,8.98E-01,-1.757,0.362,0.828,9.77E-01
FGFR1,-1.171,8.79E-01,-2.303,0.397,0.829,9.77E-01
NPAT,-0.928,8.23E-01,-1.915,0.341,0.829,9.78E-01
ZBTB16,-1.851,9.68E-01,-1.333,0.354,0.83,9.78E-01
POLR2H,-1.206,8.86E-01,-1.76,0.352,0.83,9.78E-01
ATOH1,-1.015,8.45E-01,-1.824,0.333,0.831,9.78E-01
AFF4,-4.135,1.00E+00,-2.473,0.44,0.832,9.79E-01
THAP1,-0.854,8.03E-01,-2.04,0.348,0.832,9.79E-01
ZBED1,-1.411,9.21E-01,-1.47,0.34,0.832,9.79E-01
UBTF,-1.278,8.99E-01,-2.287,0.401,0.833,9.79E-01
MKL2,-1.431,9.24E-01,-1.903,0.384,0.833,9.79E-01
KDM3A,-1.231,8.91E-01,-1.791,0.355,0.833,9.79E-01
SP2,-1.448,9.26E-01,-2.033,0.394,0.835,9.80E-01
PPARD,-0.942,8.27E-01,-1.955,0.34,0.835,9.80E-01
IRF3,-1.426,9.23E-01,-1.691,0.359,0.836,9.80E-01
MBOAT4,-0.917,8.21E-01,-2.009,0.342,0.836,9.80E-01
RAG2,-0.661,7.46E-01,-2.859,0.364,0.839,9.81E-01
OGT,-2.073,9.81E-01,-2.05,0.407,0.842,9.82E-01
IRF1,-2.483,9.94E-01,-1.929,0.407,0.843,9.83E-01
SREBF2,-1.164,8.78E-01,-1.78,0.316,0.843,9.83E-01
HOXA1,-1.267,8.98E-01,-1.639,0.302,0.844,9.83E-01
TCF21,-2.625,9.96E-01,-1.107,0.329,0.845,9.83E-01
ZBTB10,-1.233,8.91E-01,-1.748,0.307,0.849,9.84E-01
FAM208A,-1.236,8.92E-01,-2.035,0.36,0.851,9.85E-01
CDK8,-3.009,9.99E-01,-2.692,0.431,0.852,9.85E-01
BARX2,-1.37,9.15E-01,-1.591,0.286,0.853,9.86E-01
BRD7,-0.847,8.02E-01,-2.494,0.349,0.854,9.86E-01
GATAD1,-1.451,9.27E-01,-1.96,0.366,0.854,9.86E-01
MLLT1,-2.101,9.82E-01,-2.212,0.403,0.857,9.87E-01
RBCK1,-1.355,9.12E-01,-1.69,0.288,0.858,9.87E-01
E2F4,-2.176,9.85E-01,-2,0.389,0.861,9.88E-01
KLF10,-1.624,9.48E-01,-1.838,0.346,0.862,9.88E-01
