TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
TFDP1,-2.249,9.88E-01,-2.028,0.354,0.826,9.77E-01
SNAPC1,-1.501,9.33E-01,-1.5,0.168,0.826,9.77E-01
KLF7,-1.236,8.92E-01,-2.284,0.319,0.826,9.77E-01
ZNF519,-0.891,8.14E-01,-2.666,0.309,0.827,9.77E-01
POU3F2,-1.722,9.58E-01,-1.581,0.245,0.831,9.79E-01
ZXDB,-1.008,8.43E-01,-2.943,0.337,0.832,9.79E-01
UHRF2,-0.864,8.06E-01,-2.866,0.313,0.832,9.79E-01
ZBTB8A,-1.031,8.49E-01,-2.867,0.336,0.833,9.79E-01
KLF8,-1.014,8.45E-01,-2.936,0.336,0.834,9.79E-01
ARNT2,-1.291,9.02E-01,-2.004,0.227,0.835,9.80E-01
BRD2,-3.324,1.00E+00,-2.682,0.411,0.835,9.80E-01
KLF6,-0.967,8.33E-01,-2.541,0.298,0.835,9.80E-01
E2F1,-8.73,1.00E+00,-2.68,0.416,0.837,9.81E-01
INTS11,-1.385,9.17E-01,-2.79,0.358,0.838,9.81E-01
KMT2D,-3.348,1.00E+00,-1.964,0.345,0.84,9.82E-01
ZSCAN5A,-1.388,9.17E-01,-2.172,0.3,0.84,9.82E-01
ELL2,-3.365,1.00E+00,-2.086,0.364,0.841,9.82E-01
RUVBL1,-1.338,9.10E-01,-2.029,0.214,0.841,9.82E-01
KLF9,-2.405,9.92E-01,-2.927,0.405,0.842,9.82E-01
ASCL2,-1.259,8.96E-01,-2.139,0.235,0.842,9.82E-01
HCFC1,-3.109,9.99E-01,-2.189,0.371,0.843,9.83E-01
ZNF786,-0.894,8.14E-01,-3.01,0.309,0.843,9.83E-01
HOXA1,-1.479,9.30E-01,-1.835,0.175,0.843,9.83E-01
HOXA4,-0.916,8.20E-01,-2.989,0.306,0.846,9.84E-01
ZNF441,-0.921,8.22E-01,-2.995,0.305,0.848,9.84E-01
MXD3,-1.518,9.36E-01,-1.854,0.164,0.849,9.85E-01
E2F4,-2.964,9.99E-01,-2.386,0.373,0.849,9.85E-01
ELK3,-1.231,8.91E-01,-2.279,0.241,0.849,9.85E-01
ELK1,-3.223,9.99E-01,-1.971,0.332,0.85,9.85E-01
UBTF,-1.853,9.68E-01,-2.795,0.378,0.851,9.85E-01
FOXD2,-1.271,8.98E-01,-2.212,0.233,0.851,9.85E-01
ZBTB10,-1.46,9.28E-01,-1.959,0.18,0.851,9.85E-01
ZIC2,-1.391,9.18E-01,-2.061,0.2,0.852,9.85E-01
THAP11,-1.219,8.89E-01,-2.374,0.244,0.853,9.86E-01
CDK6,-1.091,8.62E-01,-2.625,0.273,0.854,9.86E-01
BARX2,-1.596,9.45E-01,-1.774,0.139,0.855,9.86E-01
MAFB,-1.447,9.26E-01,-2.002,0.182,0.855,9.86E-01
HOXA6,-1.202,8.85E-01,-2.488,0.247,0.856,9.86E-01
EPC1,-2.055,9.80E-01,-1.728,0.193,0.856,9.86E-01
E2F3,-1.04,8.51E-01,-2.823,0.282,0.856,9.87E-01
ZNF189,-0.938,8.26E-01,-3.203,0.302,0.856,9.87E-01
CPSF3L,-2.309,9.90E-01,-2.221,0.339,0.858,9.87E-01
ZBTB7B,-1.448,9.26E-01,-2.038,0.182,0.858,9.87E-01
NFAT5,-1.504,9.34E-01,-1.983,0.167,0.859,9.87E-01
SMAD5,-1.941,9.74E-01,-1.933,0.235,0.859,9.87E-01
GMEB1,-1.685,9.54E-01,-1.723,0.1,0.859,9.87E-01
SIX5,-2.702,9.97E-01,-2.002,0.31,0.86,9.88E-01
EZH1,-1.718,9.57E-01,-2.994,0.373,0.86,9.88E-01
ZBTB26,-1.406,9.20E-01,-3.255,0.353,0.86,9.88E-01
KDM3A,-1.623,9.48E-01,-2.132,0.269,0.861,9.88E-01
ZNF131,-1.657,9.51E-01,-1.779,0.116,0.862,9.88E-01
CHD1,-4.648,1.00E+00,-2.864,0.395,0.865,9.89E-01
