TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
U2AF1,-2.354,9.91E-01,-1.923,0.448,0.904,9.96E-01
MAFB,-1.516,9.35E-01,-2.071,0.404,0.904,9.96E-01
MEF2C,-1.349,9.11E-01,-2.657,0.426,0.907,9.96E-01
GTF2B,-3.662,1.00E+00,-1.926,0.456,0.912,9.97E-01
ZNF711,-1.519,9.36E-01,-2.302,0.404,0.914,9.97E-01
ZBTB26,-1.67,9.53E-01,-3.628,0.457,0.914,9.97E-01
ZNF343,-1.333,9.09E-01,-3.379,0.428,0.916,9.97E-01
TERF2,-1.612,9.47E-01,-2.192,0.388,0.918,9.98E-01
CSNK2A1,-1.58,9.43E-01,-2.377,0.395,0.921,9.98E-01
ZNF786,-1.398,9.19E-01,-4.046,0.421,0.922,9.98E-01
NR0B1,-1.454,9.27E-01,-3.113,0.414,0.923,9.98E-01
POU3F2,-2.144,9.84E-01,-1.989,0.409,0.923,9.98E-01
ZBED1,-2.174,9.85E-01,-2.213,0.414,0.932,9.99E-01
RPE,-2.939,9.98E-01,-2.582,0.444,0.937,9.99E-01
REL,-2.001,9.77E-01,-2.972,0.431,0.937,9.99E-01
ZNF483,-1.594,9.45E-01,-3.204,0.392,0.938,9.99E-01
SMAD5,-2.283,9.89E-01,-2.149,0.388,0.938,9.99E-01
CD74,-2.996,9.99E-01,-1.807,0.288,0.939,9.99E-01
SPIN1,-1.691,9.55E-01,-2.527,0.361,0.939,9.99E-01
ASH1L,-1.656,9.51E-01,-3.023,0.376,0.942,9.99E-01
NCOR2,-2.362,9.91E-01,-2.224,0.384,0.943,9.99E-01
IRAK1,-1.641,9.50E-01,-3.255,0.38,0.943,9.99E-01
PHF2,-2.081,9.81E-01,-2.922,0.417,0.944,9.99E-01
STAT5,-3.237,9.99E-01,-2.22,0.418,0.944,9.99E-01
ZNF783,-1.652,9.51E-01,-3.485,0.377,0.945,9.99E-01
STAT5B,-4.292,1.00E+00,-3.145,0.452,0.948,9.99E-01
FOXP3,-2.417,9.92E-01,-2.308,0.348,0.949,9.99E-01
IRAK4,-1.713,9.57E-01,-3.112,0.338,0.951,1.00E+00
NFATC1,-2.542,9.95E-01,-3.314,0.433,0.952,1.00E+00
ZNF100,-2.103,9.82E-01,-3.248,0.411,0.952,1.00E+00
TRAF7,-2.95,9.98E-01,-4.233,0.426,0.962,1.00E+00
