TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
EWSR1,1.762,3.90E-02,2.712,0.53,0.084,2.68E-03
TP73,2.513,5.98E-03,2.65,0.501,0.084,2.68E-03
ZIM3,2.126,1.68E-02,3.04,0.485,0.084,2.68E-03
ZFP57,2.266,1.17E-02,2.411,0.53,0.084,2.71E-03
HOXC9,2.113,1.73E-02,3.038,0.484,0.086,2.85E-03
TCF21,3.182,7.32E-04,2.054,0.543,0.086,2.89E-03
SMAD3,3.304,4.77E-04,1.922,0.644,0.086,2.89E-03
EZH2,9.106,4.26E-20,1.663,0.751,0.087,2.96E-03
SIRT1,2.673,3.76E-03,2.63,0.492,0.088,3.07E-03
NEUROD1,2.309,1.05E-02,2.69,0.492,0.089,3.19E-03
CTCF,26.271,2.07E-152,2.017,0.507,0.091,3.35E-03
HLF,2.061,1.96E-02,3.087,0.478,0.092,3.47E-03
HAND2,1.605,5.43E-02,2.894,0.507,0.093,3.63E-03
FOXH1,2.081,1.87E-02,2.779,0.489,0.095,3.85E-03
SATB1,1.319,9.35E-02,3.32,0.503,0.096,3.98E-03
EP300,4.803,7.81E-07,1.614,0.668,0.098,4.21E-03
MCM2,1.582,5.68E-02,2.914,0.5,0.098,4.25E-03
TRIM28,3.281,5.18E-04,3.212,0.447,0.098,4.30E-03
GATA1,5.018,2.60E-07,2.312,0.484,0.098,4.30E-03
CTNNB1,1.656,4.89E-02,2.485,0.533,0.098,4.30E-03
DMC1,1.562,5.92E-02,2.997,0.494,0.099,4.35E-03
ZNF317,2.089,1.83E-02,3.099,0.469,0.099,4.40E-03
LMNA,1.997,2.29E-02,3.012,0.476,0.1,4.44E-03
ZNF680,2.255,1.21E-02,3.006,0.469,0.101,4.59E-03
ZFP28,1.921,2.74E-02,2.876,0.479,0.102,4.74E-03
ZNF169,1.554,6.01E-02,2.917,0.492,0.104,5.05E-03
GATA2,3.451,2.79E-04,2.236,0.486,0.105,5.15E-03
SMC1A,6.205,2.74E-10,1.818,0.51,0.106,5.37E-03
RING1,2.147,1.59E-02,2.7,0.478,0.107,5.48E-03
JARID2,5.392,3.49E-08,1.293,0.753,0.109,5.76E-03
TERC,2.755,2.94E-03,2.472,0.476,0.109,5.76E-03
PLRG1,1.834,3.34E-02,3.159,0.463,0.109,5.76E-03
CDK2,1.808,3.53E-02,2.861,0.477,0.109,5.76E-03
FLI1,2.583,4.90E-03,1.756,0.557,0.109,5.82E-03
HNF1A,2.198,1.40E-02,2.111,0.511,0.112,6.29E-03
ZNF485,1.472,7.05E-02,3.056,0.478,0.113,6.41E-03
PGR,1.619,5.27E-02,2.38,0.513,0.113,6.53E-03
TEAD4,2.272,1.16E-02,1.778,0.55,0.114,6.60E-03
AR,4.755,9.92E-07,1.708,0.513,0.115,6.79E-03
TET2,2.357,9.22E-03,1.712,0.546,0.115,6.79E-03
GRIP1,2.239,1.26E-02,2.122,0.502,0.115,6.79E-03
HNF4A,3.707,1.05E-04,1.997,0.488,0.116,6.98E-03
FOXA2,4.105,2.02E-05,2.201,0.474,0.116,7.04E-03
MYOD1,2.272,1.15E-02,2.401,0.477,0.117,7.18E-03
