TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
NFYC,-1.608,9.46E-01,-2.01,0.172,0.882,9.93E-01
XCL1,-1.243,8.93E-01,-2.635,0.246,0.883,9.93E-01
NFAT5,-1.578,9.43E-01,-2.051,0.18,0.884,9.93E-01
KLF6,-1.205,8.86E-01,-2.892,0.252,0.886,9.93E-01
EMSY,-1.707,9.56E-01,-1.953,0.127,0.886,9.93E-01
ETV4,-1.706,9.56E-01,-2.416,0.292,0.887,9.94E-01
TFDP1,-2.591,9.95E-01,-2.238,0.304,0.887,9.94E-01
FXR1,-1.415,9.22E-01,-2.299,0.216,0.887,9.94E-01
VEZF1,-1.772,9.62E-01,-2.205,0.264,0.888,9.94E-01
FOXD2,-1.399,9.19E-01,-2.362,0.219,0.888,9.94E-01
RUVBL1,-1.521,9.36E-01,-2.228,0.195,0.89,9.94E-01
EPC1,-2.331,9.90E-01,-1.897,0.172,0.892,9.94E-01
TAFII,-1.958,9.75E-01,-2.089,0.237,0.893,9.94E-01
KDM4C,-1.25,8.94E-01,-3.074,0.245,0.893,9.95E-01
E2F4,-2.989,9.99E-01,-2.398,0.321,0.894,9.95E-01
CDK6,-1.276,8.99E-01,-2.883,0.241,0.894,9.95E-01
RBL2,-3.51,1.00E+00,-2.007,0.267,0.894,9.95E-01
RBP2,-1.728,9.58E-01,-2.005,0.094,0.897,9.95E-01
ORC1,-1.513,9.35E-01,-2.334,0.196,0.898,9.95E-01
HEY1,-1.549,9.39E-01,-2.887,0.278,0.901,9.96E-01
ARNTL,-2.527,9.94E-01,-2.183,0.265,0.902,9.96E-01
ELL2,-3.771,1.00E+00,-2.254,0.296,0.904,9.96E-01
GTF2B,-4.611,1.00E+00,-2.234,0.292,0.904,9.96E-01
DCP1A,-2.099,9.82E-01,-2.158,0.222,0.905,9.96E-01
TCOF1,-1.38,9.16E-01,-2.735,0.222,0.905,9.96E-01
PAF1,-5.551,1.00E+00,-2.717,0.334,0.907,9.96E-01
AFF4,-4.482,1.00E+00,-2.602,0.328,0.908,9.97E-01
KAT5,-2.543,9.95E-01,-2.169,0.236,0.911,9.97E-01
PHF6,-1.404,9.20E-01,-2.885,0.218,0.911,9.97E-01
MCRS1,-1.481,9.31E-01,-2.557,0.203,0.911,9.97E-01
GMEB2,-2.418,9.92E-01,-2.023,0.138,0.914,9.97E-01
SOX9,-1.742,9.59E-01,-2.668,0.269,0.916,9.97E-01
KDM5A,-3.411,1.00E+00,-1.973,0.142,0.916,9.97E-01
KLF10,-2.16,9.85E-01,-2.235,0.207,0.916,9.97E-01
POLR2B,-2.039,9.79E-01,-2.445,0.25,0.92,9.98E-01
ZNF711,-1.645,9.50E-01,-2.425,0.158,0.922,9.98E-01
ELK4,-3.33,1.00E+00,-2.05,0.171,0.923,9.98E-01
U2AF1,-2.956,9.98E-01,-2.194,0.205,0.925,9.98E-01
TAF3,-1.559,9.41E-01,-2.824,0.186,0.928,9.98E-01
KAT7,-1.521,9.36E-01,-3.103,0.195,0.929,9.98E-01
FAM208A,-1.974,9.76E-01,-2.621,0.24,0.93,9.99E-01
BRD1,-1.54,9.38E-01,-3.093,0.19,0.931,9.99E-01
DDX21,-2.353,9.91E-01,-2.268,0.157,0.932,9.99E-01
AUTS2,-1.567,9.41E-01,-2.901,0.183,0.932,9.99E-01
PHF8,-5.13,1.00E+00,-2.527,0.285,0.933,9.99E-01
SPIN1,-1.687,9.54E-01,-2.524,0.141,0.934,9.99E-01
KDM5C,-2.412,9.92E-01,-3.079,0.277,0.935,9.99E-01
NELFA,-5.192,1.00E+00,-2.17,0.193,0.935,9.99E-01
RPE,-2.846,9.98E-01,-2.535,0.258,0.937,9.99E-01
SRSF3,-2.25,9.88E-01,-2.394,0.179,0.937,9.99E-01
PHF2,-2.047,9.80E-01,-2.897,0.214,0.947,9.99E-01
BRPF3,-2.497,9.94E-01,-3.289,0.228,0.955,1.00E+00
