TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
EBNA2,-0.179,5.71E-01,0.209,0.372,0.518,5.41E-01
DPF1,-0.152,5.61E-01,-0.102,0.382,0.519,5.42E-01
TGIF2,0.01,4.96E-01,-0.863,0.402,0.519,5.43E-01
MYH11,-0.258,6.02E-01,-1.554,0.453,0.52,5.45E-01
MKL2,-0.076,5.30E-01,-0.649,0.394,0.524,5.53E-01
VDR,-0.968,8.34E-01,-0.902,0.475,0.524,5.55E-01
ZNF786,0.107,4.57E-01,-0.957,0.395,0.525,5.56E-01
STAT5A,-0.232,5.92E-01,-0.398,0.392,0.526,5.58E-01
ZNF138,-0.301,6.19E-01,0.568,0.36,0.528,5.62E-01
WDR5,-0.704,7.59E-01,-1.704,0.494,0.528,5.64E-01
WRNIP1,0.036,4.86E-01,-0.758,0.389,0.528,5.64E-01
CREBBP,-0.987,8.38E-01,-0.716,0.461,0.529,5.65E-01
NR1H2,-0.306,6.20E-01,-0.122,0.386,0.529,5.65E-01
KDM6B,-0.452,6.74E-01,-0.691,0.424,0.53,5.68E-01
SP1,-0.722,7.65E-01,-1.598,0.489,0.531,5.69E-01
CBX1,-0.347,6.36E-01,-1.159,0.435,0.532,5.71E-01
ZNF84,-0.262,6.04E-01,0.254,0.364,0.532,5.71E-01
SND1,-0.399,6.55E-01,0.108,0.383,0.532,5.73E-01
ZNF274,-0.587,7.21E-01,1.097,0.36,0.534,5.76E-01
RFX1,-0.614,7.30E-01,0.152,0.399,0.535,5.79E-01
ZNF585B,-0.453,6.75E-01,0.728,0.366,0.535,5.79E-01
ETV5,-0.477,6.83E-01,-0.283,0.402,0.536,5.80E-01
ZNF671,-0.157,5.62E-01,-0.207,0.374,0.536,5.81E-01
ZNF486,-0.621,7.33E-01,1.218,0.354,0.537,5.83E-01
TEAD1,-0.546,7.08E-01,0.337,0.385,0.537,5.84E-01
ETV1,-0.369,6.44E-01,-1.173,0.433,0.538,5.85E-01
ZC3H8,-0.308,6.21E-01,-0.675,0.401,0.541,5.93E-01
STAT3,-0.943,8.27E-01,-0.588,0.444,0.541,5.93E-01
DNMT3B,-1.021,8.46E-01,-0.606,0.447,0.545,6.00E-01
C11orf30,-0.413,6.60E-01,-0.161,0.386,0.545,6.01E-01
ZNF528,-0.032,5.13E-01,-0.842,0.384,0.546,6.04E-01
STAT1,-0.472,6.82E-01,-0.845,0.419,0.547,6.05E-01
NFE2L1,-0.72,7.64E-01,0.432,0.388,0.548,6.07E-01
TBX21,-0.337,6.32E-01,-0.257,0.377,0.552,6.15E-01
CUX1,-0.826,7.96E-01,0.048,0.404,0.552,6.16E-01
RAD51,-0.577,7.18E-01,0.101,0.384,0.553,6.18E-01
ZFP41,-0.544,7.07E-01,0.766,0.354,0.553,6.18E-01
IRF1,-0.902,8.16E-01,-0.907,0.446,0.554,6.19E-01
TERF1,-0.247,5.98E-01,-0.21,0.366,0.555,6.22E-01
ZNF682,-0.123,5.49E-01,-0.82,0.383,0.557,6.26E-01
ZNF547,-0.415,6.61E-01,-0.717,0.402,0.557,6.27E-01
UBE2I,-0.186,5.74E-01,-0.451,0.371,0.558,6.29E-01
CHAMP1,-0.292,6.15E-01,-0.481,0.378,0.559,6.30E-01
GPS2,-0.052,5.21E-01,-0.975,0.383,0.56,6.32E-01
CREB1,-1.257,8.96E-01,-1.48,0.496,0.56,6.34E-01
WDHD1,-0.275,6.08E-01,-0.337,0.371,0.56,6.34E-01
ADNP,-0.291,6.15E-01,-0.44,0.376,0.56,6.34E-01
PATZ1,-0.168,5.67E-01,-1.536,0.416,0.561,6.35E-01
PTTG1,-0.538,7.05E-01,0.531,0.358,0.562,6.36E-01
FOXK1,-0.657,7.44E-01,0.359,0.376,0.562,6.36E-01
KLF17,-0.016,5.06E-01,-1.191,0.388,0.562,6.38E-01
GLYR1,0.009,4.96E-01,-1.22,0.387,0.563,6.40E-01
ZXDB,0.03,4.88E-01,-1.259,0.389,0.564,6.42E-01
NIPBL,-1.133,8.71E-01,-1.662,0.493,0.565,6.45E-01
LANA,-0.146,5.58E-01,-1.28,0.401,0.567,6.47E-01
ZNF100,-0.154,5.61E-01,-0.99,0.385,0.567,6.47E-01
PTRF,-0.583,7.20E-01,0.611,0.354,0.567,6.48E-01
ZNF675,-0.459,6.77E-01,0.59,0.346,0.568,6.49E-01
ZNF414,-0.05,5.20E-01,-1.432,0.398,0.569,6.53E-01
ZNF136,-0.574,7.17E-01,0.951,0.335,0.571,6.56E-01
TSHZ1,-0.302,6.19E-01,-0.512,0.372,0.572,6.59E-01
ERCC2,-0.372,6.45E-01,0.067,0.353,0.573,6.61E-01
ZNF18,-0.623,7.33E-01,-1.155,0.428,0.574,6.62E-01
JMJD1C,-0.449,6.73E-01,-0.354,0.376,0.574,6.63E-01
NFKB1,-0.369,6.44E-01,-0.482,0.375,0.574,6.64E-01
ZNF641,-0.392,6.53E-01,-0.491,0.376,0.576,6.66E-01
ZNF483,-0.089,5.36E-01,-1.108,0.38,0.576,6.66E-01
AEBP2,-0.635,7.37E-01,0.246,0.363,0.578,6.71E-01
ZBTB14,0.037,4.85E-01,-1.56,0.389,0.578,6.72E-01
MEF2A,-0.408,6.58E-01,-0.613,0.382,0.58,6.76E-01
E2F5,-0.25,5.99E-01,-0.928,0.381,0.58,6.76E-01
KLF1,-0.668,7.48E-01,-1.51,0.442,0.582,6.80E-01
ZNF430,-0.573,7.17E-01,0.747,0.335,0.583,6.82E-01
TEAD2,-0.552,7.09E-01,0.204,0.352,0.585,6.85E-01
JUNB,-1.153,8.76E-01,-0.808,0.436,0.585,6.86E-01
EGR1,-0.894,8.14E-01,-1.976,0.483,0.585,6.86E-01
USP49,-0.633,7.37E-01,0.91,0.329,0.586,6.87E-01
MORC2,-0.992,8.39E-01,-1.214,0.444,0.586,6.88E-01
FXR2,-0.341,6.34E-01,-0.387,0.356,0.586,6.88E-01
PHIP,-0.228,5.90E-01,-2.247,0.448,0.587,6.90E-01
ZNF765,-0.532,7.03E-01,0.521,0.339,0.588,6.91E-01
TBL1XR1,-0.445,6.72E-01,-1.023,0.396,0.588,6.92E-01
PRDM2,-0.223,5.88E-01,-1.042,0.377,0.588,6.93E-01
ZFP69B,-0.144,5.57E-01,-1.45,0.39,0.588,6.93E-01
MXI1,-0.577,7.18E-01,-2.074,0.465,0.59,6.96E-01
ZNF837,-0.548,7.08E-01,-0.229,0.369,0.59,6.96E-01
ZBTB7A,-0.809,7.91E-01,-1.692,0.449,0.591,6.99E-01
POU2F2,-0.485,6.86E-01,-0.801,0.387,0.592,6.99E-01
ZNF8,-0.744,7.72E-01,0.022,0.374,0.592,7.01E-01
SCML2,-0.286,6.13E-01,-1.009,0.376,0.593,7.02E-01
ZNF346,-0.129,5.51E-01,-1.348,0.383,0.593,7.03E-01
NONO,-0.834,7.98E-01,0.807,0.34,0.596,7.08E-01
PRMT1,-0.647,7.41E-01,-0.237,0.372,0.597,7.10E-01
RXRG,-1.204,8.86E-01,-0.764,0.43,0.597,7.10E-01
ZNF207,-1.203,8.86E-01,0.771,0.367,0.598,7.12E-01
LEF1,-1.231,8.91E-01,-1.685,0.474,0.599,7.13E-01
ZBTB33,-2.313,9.90E-01,-1.631,0.508,0.6,7.17E-01
FOS,-1.625,9.48E-01,-0.352,0.427,0.601,7.17E-01
ETV4,-0.6,7.26E-01,-0.91,0.392,0.604,7.24E-01
ZNF280A,-0.604,7.27E-01,0.516,0.332,0.605,7.26E-01
EPAS1,-0.464,6.79E-01,-0.152,0.345,0.605,7.27E-01
MECP2,-0.394,6.53E-01,-1.513,0.401,0.608,7.31E-01
MEF2D,-0.596,7.24E-01,-0.087,0.351,0.608,7.31E-01
NOTCH1,-1.388,9.17E-01,-1.531,0.468,0.608,7.32E-01
PYGO2,-0.657,7.45E-01,0.134,0.348,0.609,7.33E-01
TAZ,-0.405,6.57E-01,-0.478,0.35,0.609,7.33E-01
TERF2,-0.405,6.57E-01,-0.525,0.35,0.612,7.39E-01
FGFR1,-0.547,7.08E-01,-1.737,0.419,0.612,7.40E-01
ZNF143,-2.313,9.90E-01,-1.765,0.507,0.613,7.40E-01
PAX5,-0.944,8.27E-01,-0.493,0.385,0.617,7.48E-01
