TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
BCL11A,0.991,1.61E-01,1.761,0.604,0.209,4.10E-02
EED,1.075,1.41E-01,1.44,0.643,0.211,4.21E-02
NR5A2,1.427,7.67E-02,2.421,0.534,0.211,4.21E-02
ZNF788,1.34,9.01E-02,3.364,0.521,0.212,4.29E-02
L3MBTL2,1.505,6.61E-02,2.405,0.531,0.215,4.49E-02
IRF5,1.183,1.18E-01,2.578,0.537,0.217,4.58E-02
ZNF554,1.112,1.33E-01,3.019,0.531,0.217,4.63E-02
RXRA,1.587,5.62E-02,1.024,0.583,0.218,4.65E-02
HOTAIR,1.878,3.02E-02,2.334,0.523,0.22,4.77E-02
KDM2B,3.039,1.19E-03,-0.288,0.656,0.22,4.79E-02
PRDM14,1.242,1.07E-01,2.181,0.543,0.223,5.01E-02
ZEB2,2.058,1.98E-02,2.282,0.519,0.224,5.06E-02
MIER1,1.552,6.04E-02,2.109,0.535,0.225,5.15E-02
ZNF92,1.216,1.12E-01,2.28,0.54,0.227,5.25E-02
EPAS1,1.314,9.44E-02,1.816,0.55,0.227,5.28E-02
CHD7,1.228,1.10E-01,1.46,0.57,0.228,5.35E-02
SIX2,1.998,2.29E-02,2.076,0.524,0.229,5.43E-02
MITF,1.581,5.70E-02,2.314,0.526,0.229,5.43E-02
TEAD1,2.031,2.11E-02,1.692,0.533,0.23,5.45E-02
ZMIZ1,1.359,8.71E-02,1.706,0.551,0.23,5.45E-02
H2AFX,0.904,1.83E-01,2.366,0.551,0.23,5.48E-02
TSC22D4,0.721,2.36E-01,1.829,0.6,0.23,5.48E-02
ZNF331,1.087,1.39E-01,2.925,0.529,0.23,5.51E-02
HIF1A,0.94,1.74E-01,2.529,0.542,0.231,5.56E-02
CDC5L,1.516,6.48E-02,1.892,0.537,0.231,5.56E-02
MAFG,1.404,8.01E-02,2.502,0.523,0.234,5.74E-02
ZNF600,1.554,6.01E-02,2.142,0.53,0.234,5.77E-02
ZNF585B,1.159,1.23E-01,2.853,0.525,0.234,5.77E-02
RBL1,1.228,1.10E-01,2.103,0.541,0.236,5.93E-02
ZNF282,1.97,2.44E-02,0.801,0.557,0.242,6.34E-02
POLR2AphosphoS5,1.987,2.35E-02,1.657,0.531,0.242,6.40E-02
SCRT2,1.311,9.49E-02,2.663,0.52,0.242,6.40E-02
ZMYND8,2.06,1.97E-02,1.165,0.54,0.243,6.43E-02
ZNF467,1.276,1.01E-01,1.77,0.546,0.243,6.43E-02
ZNF169,1.127,1.30E-01,2.391,0.532,0.243,6.46E-02
ESCO2,1.25,1.06E-01,1.845,0.543,0.243,6.49E-02
E2F6,1.778,3.77E-02,0.316,0.581,0.245,6.63E-02
CBX2,1.327,9.22E-02,1.5,0.551,0.245,6.63E-02
SMARCE1,1.373,8.49E-02,2.656,0.515,0.247,6.78E-02
ZNF506,1.09,1.38E-01,2.524,0.529,0.247,6.81E-02
CDX2,1.225,1.10E-01,1.866,0.542,0.248,6.87E-02
ZNF800,1.268,1.02E-01,2.744,0.518,0.249,6.99E-02
OSR2,1.423,7.73E-02,2.172,0.525,0.25,7.02E-02
RUNX2,1.192,1.17E-01,2.353,0.529,0.251,7.08E-02
MBD1,1.723,4.24E-02,1.26,0.542,0.251,7.14E-02
ARNT,1.286,9.93E-02,2.784,0.513,0.253,7.26E-02
HAND2,1.117,1.32E-01,2.337,0.531,0.253,7.26E-02
HDAC2,1.844,3.26E-02,0.555,0.562,0.255,7.42E-02
GREB1,1.64,5.05E-02,1.862,0.527,0.255,7.42E-02
GTF3C2,1.437,7.53E-02,1.692,0.536,0.256,7.58E-02
H2AZ,4.145,1.70E-05,-0.581,0.572,0.258,7.74E-02
ZNF423,1.642,5.03E-02,1.347,0.538,0.258,7.77E-02
